candidate_id,jurisdiction,title,year_start,year_end,year_text,inquiry_family,discovery_source,candidate_page,verification_status,recommendation_tracking_status,notes
rc-candidate-0001,Commonwealth,"Royal Commission appointed to inquire into and report upon the arrangements made for the transport of troops returning from service in South Africa in the S.S. ""Drayton Grange"" (1902)",1902,1902,1902,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0002,Commonwealth,Royal Commission on sites for the seat of government of the Commonwealth (1903),1903,1903,1903,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0003,Commonwealth,Royal Commission on the Bonuses for Manufactures Bill (1903–1904),1903,1904,1903–1904,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0004,Commonwealth,Royal Commission on the butter industry (1904–1905),1904,1905,1904–1905,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0005,Commonwealth,Royal Commission on the Navigation Bill (1904–1906),1904,1906,1904–1906,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0006,Commonwealth,"Royal Commission on the affray at Goaribari Island, British New Guinea, on 6 March 1904 (1904)",1904,1904,1904 1904,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,https://en.wikipedia.org/wiki/Goaribari_Island,candidate_unverified,not_assessed,
rc-candidate-0007,Commonwealth,Royal Commission on customs and excise tariffs (1904–1907),1904,1907,1904–1907,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0008,Commonwealth,Royal Commission on old-age pensions (1905–1906),1905,1906,1905–1906,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0009,Commonwealth,Royal Commission on the tobacco monopoly (1905–1906),1905,1906,1905–1906,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
rc-candidate-0010,Commonwealth,Royal Commission on ocean shipping service (1906),1906,1906,1906,royal_commission,https://en.wikipedia.org/wiki/List_of_Australian_royal_commissions,,candidate_unverified,not_assessed,
