report_tabled,committee,title,report_otd_id,response_id,response_tabled,response_title,response_source,removal_basis
2026-03-12,Intelligence and Security—Joint Statutory,Review of the listing of the Islamic Revolutionary Guard Corps as a state sponsor of terrorism under the Criminal Code,,,2026-07-01,Review of the listing of the Islamic Revolutionary Guard Corps as a state sponsor of terrorism under the Criminal Code,statsnet/2026,Senate response register
2026-03-19,Finance and Public Administration References,Operation and appropriateness of the superannuation and pension schemes for current and former members of the ADF,,,2026-07-01,Operation and appropriateness of the superannuation and pension schemes for current and former members of the Australian Defence Force (ADF),statsnet/2026,Senate response register
2023-07-12,Corporations and Financial Services– Joint Statutory,Corporate Insolvency in Australia,,,2026-08-11,Corporate insolvency in Australia,statsnet/2026,Senate response register
2024-04-18,Economics Legislation,Help to Buy Bill 2023 and the Help to Buy (Consequential Provisions) Bill 2023 [Provisions],,,2026-08-11,Help to Buy Bill 2023 and the Help to Buy (Consequential Provisions) Bill 2023 [Provisions],statsnet/2026,Senate response register
2026-03-26,Finance and Public Administration Legislation,"Public Governance, Performance and Accountability Amendment (Ban Unethical Contractors) Bill 2025",,,2026-08-11,"Public Governance, Performance and Accountability Amendment (Ban Unethical Contractors) Bill 2025",statsnet/2026,Senate response register
2026-04-28,Economics References,Funding and resourcing for the CSIRO,,,2026-08-11,Funding and resourcing for the CSIRO,statsnet/2026,Senate response register
2026-01-29,"Foreign Affairs, Defence and Trade— Joint Standing",Department of Defence annual report 2023-24,14745,17516,2026-08-13,Government Response - JSCFADT - Inquiry into the Defence Annual Report 2023-24,,OTD link
2026-05-05,Legal and Constitutional Affairs Legislation,Customs Legislation Amendment (False Trade Marks Infringement Notices) Bill 2026 [Provisions],,,2026-08-13,Customs Legislation Amendment (False Trade Marks Infringement Notices) Bill 2026,statsnet/2026,Senate response register
2025-03-27,Northern Australia—Joint Select,Cyclone reinsurance pool—Final report,10074,17576,2026-08-20,Australian Government response to the Joint Select Committee on Northern Australia’s Final Report on the Cyclone Reinsurance Pool,,OTD link
2023-03-30,Northern Australia—Joint Select,Inquiry into the Cyclone Reinsurance Pool – First report,,,2026-08-20,Cyclone reinsurance pool,statsnet/2026,Senate response register
2023-09-14,Legal and Constitutional Affairs References,Current and proposed sexual consent laws in Australia,,,2026-08-20,Current and proposed sexual consent laws in Australia,statsnet/2026,Senate response register
2024-05-07,Finance and Public Administration References,Access to Australian Parliament House by lobbyists,,,2026-08-20,Access to Australian Parliament House by lobbyists,statsnet/2026,Senate response register
2026-03-17,Finance and Public Administration Legislation,"Remuneration Tribunal Amendment (There for Public Service, Not Profit) Bill 2026",,,2026-08-20,"Remuneration Tribunal Amendment (There For Public Service, Not Profit) Bill 2025",statsnet/2026,Senate response register
2026-06-25,Education and Employment Legislation,Higher Education Support Amendment (Reverse Job-Ready Graduates Fee Hikes and End 50k Arts Degrees) Bill 2025,,,2026-08-20,Higher Education Support Amendment (Reverse Job-Ready Graduates Fee Hikes and End 50k Arts Degrees) Bill 2025,statsnet/2026,Senate response register
2024-07-03,Economics References,Australian Securities and Investments Commission investigation and enforcement,,,2026-08-27,Australian Securities and Investments Commission investigation and enforcement,statsnet/2026,Senate response register
2024-10-31,Environment and Communications Legislation,Future made in Australia (Guarantee of Origin) Bill 2024 [Provisions],,,2026-08-27,Future Made in Australia (Guarantee of Origin) Bill 2024 and related bills,statsnet/2026,Senate response register
