editions_in_a_row,since,report_tabled,committee,title
9,2022-06-30,2014-11-25,Legal and Constitutional Affairs Legislation,Freedom of Information Amendment (New Arrangements) Bill 2014 [Provisions]
9,2022-06-30,2018-11-30,Legal and Constitutional Affairs Legislation,Freedom of Information Legislation Amendment (Improving Access and Transparency) Bill 2018
9,2022-06-30,2020-06-17,Rural and Regional Affairs and Transport Legislation,Performance of the Australian Maritime Safety Authority
9,2022-06-30,2020-09-14,Economics Legislation,"National Radioactive Waste Management Amendment (Site Specification, Community Fund and Other Measures) Bill 2020 [Provisions]"
9,2022-06-30,2021-08-24,Environment and Communications References,Oil and gas exploration and production in the Beetaloo Basin
8,2022-12-31,2021-12-01,COVID-19—Senate Select,Public interest immunity claims—Third interim report
6,2023-12-31,2022-10-25,Economics Legislation,"Financial Accountability Regime Bill 2022 [Provisions], Financial Sector Reform Bill 2022 [Provisions], Financial Services Compensation Scheme of Last Resort Levy Bill 2022 [Provisions] and Financial Services Compensation Scheme of Last Resort Levy (Collection) Bill 2022 [Provisions]"
5,2024-06-30,2017-02-16,Public Accounts and Audit—Joint Statutory,Report 460—Public Sector Governance Inquiry based on Auditor- General’s report 29 (2015-16)
5,2024-06-30,2017-03-21,Human Rights—Joint Statutory,Freedom of speech in Australia
5,2024-06-30,2019-04-02,Public Accounts and Audit—Joint Statutory,Report 478—Issuing of a Certificate under section 37 of the Auditor- Generalʼs Act 1997
5,2024-06-30,2019-09-10,Public works—Joint Standing,2nd report of 2019—Referrals made July 2019
5,2024-06-30,2022-03-30,"Foreign Affairs, Defence and Trade— Joint Standing",Inquiry into PFAS remediation in and around Defence bases—Final report
3,2025-06-30,2022-11-17,Economics Legislation,Treasury Laws Amendment (2022 Measures No. 3) Bill 2022 [Provisions] and related bills
3,2025-06-30,2023-03-29,Public works—Joint Standing,2nd report of 2023—Department of Defence – Cocos (Keeling) Islands Airfield Upgrade Project and other works
3,2025-06-30,2023-04-19,Environment and Communications References,Oil and gas exploration and production in the Beetaloo Basin—Final report
3,2025-06-30,2023-05-03,Cost of Living—Senate Select,Interim report
3,2025-06-30,2023-10-11,Trade and Investment Growth—Joint Standing,Australia’s trade and investment opportunities in a global green economy
3,2025-06-30,2023-10-17,Public Accounts and Audit—Joint Statutory,Report 499—Inquiry into annual performance statements 2021-22
3,2025-06-30,2023-11-28,Aboriginal and Torres Strait Islander Affairs—Joint Standing Committee,Inquiry into the application of the United Nations Declaration on the Rights of Indigenous Peoples in Australia
3,2025-06-30,2023-11-29,Law Enforcement—Joint Statutory,Law enforcement capabilities in relation to child exploitation
3,2025-06-30,2023-11-30,Economics References,Influence of international digital platforms
3,2025-06-30,2024-02-06,Trade and Investment Growth—Joint Standing,Inquiry into the Australian Government’s approach to negotiating trade and investment agreements— Interim report
3,2025-06-30,2024-05-01,Trade and Investment Growth—Joint Standing,Strengthening Australia’s approach to trade negotiations
3,2025-06-30,2024-05-09,Cost of Living—Senate Select,Second interim report
3,2025-06-30,2024-05-09,Economics References,"Improving consumer experiences, choice, and outcomes in Australia’s retirement system – existing and proposed superannuation for housing policies – interim report"
3,2025-06-30,2024-05-28,Law Enforcement—Joint Statutory,Australia’s illicit drug problem: Challenges and opportunities for law enforcement—Additional comments from the Australian Greens
3,2025-06-30,2024-06-25,Human Rights—Joint Statutory,Australia’s Human Rights Framework
1,2026-06-30,2023-05-08,"Foreign Affairs, Defence and Trade References",Adaptive sport programs for Australian Defence Force veterans
1,2026-06-30,2024-03-22,Economics Legislation,Offshore Petroleum and Greenhouse Gas Storage Legislation Amendment (Safety and Other Measures) Bill 2024 [Provisions]
1,2026-06-30,2024-07-02,Public works—Joint Standing,5th report of 2024—Department of Defence – Australian Defence Force Academy living-in accommodation project and other works
1,2026-06-30,2024-09-03,Human Rights—Joint Statutory,Compulsory income management
1,2026-06-30,2024-09-04,Economics Legislation,Treasury Laws Amendment (Build to Rent) Bill 2024 and Capital Works (Build to Rent Misuse Tax) Bill 2024 [Provisions]
1,2026-06-30,2024-09-19,Economics References,"Improving consumer experiences, choice and outcomes in Australia’s retirement system: superannuation for mortgage offset- Second interim report"
1,2026-06-30,2024-10-10,Migration—Joint Standing,"Migration, pathway to nation building"
1,2026-06-30,2024-11-15,Cost of Living—Senate Select,Paying the price: The cost of a crisis on Australian’s standards of living – Final report
1,2026-06-30,2024-11-18,Social Media and Australian Society—Joint Select,Digital platforms and the traditional news media—Second interim report
1,2026-06-30,2024-11-18,Social Media and Australian Society—Joint Select,"Social media: the good, the bad, and the ugly—Final report"
1,2026-06-30,2024-11-26,Impact of Climate Risk on Insurance—Senate Select,Report
1,2026-06-30,2024-11-28,Economics References,Financial regulatory framework and home ownership
1,2026-06-30,2024-12-05,Corporations and Financial Services– Joint Statutory,Financial abuse: an insidious form of domestic violence
1,2026-06-30,2025-02-13,Economics References,"Improving consumer experiences, choice, and outcomes in Australia’s retirement system: superannuation fund governance arrangements—Third interim report"
1,2026-06-30,2025-02-28,Trade and Investment Growth—Joint Standing,Inquiry into the understanding and utilisation of benefits under free trade agreements—Final report
1,2026-06-30,2025-03-25,Public Accounts and Audit—Joint Statutory,Report 510—Use and governance of artificial intelligence systems by public sector entities
1,2026-06-30,2025-04-24,Environment and Communications References,No time to waste: Waste reduction and recycling policies
1,2026-06-30,2025-11-19,PFAS—Senate Select,"Inquiry into the extent, regulation and management of PFAS"
