senate_tabled,house_tabled,committee,title,report_otd_id,senate_overdue,house_overdue,matched_on
2020-12-10,2020-12-09,Public Accounts and Audit—Joint Statutory,Report 485—Cyber Resilience: Inquiry into Auditor-General’s reports 1 and 13 (2019-20),,True,True,title and tabling date
2021-09-01,2021-08-24,Public Accounts and Audit—Joint Statutory,"Report 486—Regulatory activities: Inquiry into Auditor-General’s reports 33, 47 and 48 (2019-20) and 5 and 8 (2020-21)",,True,True,title and tabling date
2022-03-30,2022-03-30,"Foreign Affairs, Defence and Trade— Joint Standing",Inquiry into PFAS remediation in and around Defence bases—Final report,,True,True,title and tabling date
2022-07-27,2022-03-31,Public Accounts and Audit—Joint Statutory,Report 488—Commonwealth financial statements 2019-20,63,True,True,same report id
2022-07-27,2022-03-31,Public Accounts and Audit—Joint Statutory,Report 491—Review of the Auditor- General Act 1997,66,True,True,same report id
2023-03-30,2023-03-30,Public Accounts and Audit—Joint Statutory,Report 494—Inquiry into the Department of Foreign Affairs and Trade’s crisis management arrangements,1676,True,True,same report id
2023-10-11,2023-10-11,Trade and Investment Growth—Joint Standing,Australia’s trade and investment opportunities in a global green economy,3646,True,True,same report id
2023-10-17,2023-10-17,Public Accounts and Audit—Joint Statutory,Report 499—Inquiry into annual performance statements 2021-22,3759,True,True,same report id
2023-11-28,2023-11-28,Aboriginal and Torres Strait Islander Affairs—Joint Standing Committee,Inquiry into the application of the United Nations Declaration on the Rights of Indigenous Peoples in Australia,4323,True,True,same report id
2023-11-29,2023-11-29,Law Enforcement—Joint Statutory,Law enforcement capabilities in relation to child exploitation,4341,True,True,same report id
2024-02-06,2024-02-06,Trade and Investment Growth—Joint Standing,Inquiry into the Australian Government’s approach to negotiating trade and investment agreements— Interim report,4931,True,True,same report id
2024-05-01,2024-05-01,Trade and Investment Growth—Joint Standing,Strengthening Australia’s approach to trade negotiations,5719,True,True,same report id
2024-07-02,2024-07-01,Public works—Joint Standing,5th report of 2024—Department of Defence – Australian Defence Force Academy living-in accommodation project and other works,6613,True,True,same report id
2024-09-03,2024-09-02,Human Rights—Joint Statutory,Compulsory income management,7222,True,True,same report id
2024-10-10,2024-10-09,Migration—Joint Standing,"Migration, pathway to nation building",7653,True,True,same report id
2024-11-18,2024-11-04,Social Media and Australian Society—Joint Select,Digital platforms and the traditional,8267,True,True,same report id
2024-11-19,2024-11-04,Public Accounts and Audit—Joint Statutory,Report 505—Inquiry into policy and program design and implementation,,True,True,title and tabling date
2024-12-05,2024-12-05,Corporations and Financial Services– Joint Statutory,Financial abuse: an insidious form of domestic violence,8604,True,True,same report id
2025-02-28,2025-02-28,Trade and Investment Growth—Joint Standing,Inquiry into the understanding and utilisation of benefits under free trade agreements—Final report,9629,True,True,same report id
2025-03-25,2025-03-25,Public Accounts and Audit—Joint Statutory,Report 510—Use and governance of artificial intelligence systems by public sector entities,9996,True,True,same report id
2025-11-04,2025-11-04,Intelligence and Security—Joint Statutory,Strengthening Oversight of the National Intelligence Community Bill 2025—Advisory report,13612,True,True,same report id
2026-03-12,2026-03-11,regional and remote Australia,Annual report no. 1 of the 48th,15487,True,False,same report id
