days_outstanding,report_tabled,committee,title,interim_response,being_considered,partial_response,response_out_of_period,overdue,interim_report,source,notes
2091,2020-12-09,"Public Accounts and Audit (Joint, Statutory)",Report 485: Cyber Resilience: Inquiry into Auditor-General’s Reports 1 and 13 (2019-20),False,True,True,,True,False,speakers_schedule,
1833,2021-08-24,"Public Accounts and Audit (Joint, Statutory)","Report 486: Regulatory Activities - Inquiry into Auditor-Generals Reports 33, 47, 48 (2019-20) and 5 and 8 (2020-21)",False,True,True,,True,False,speakers_schedule,
1615,2022-03-30,"Foreign Affairs, Defence and Trade (Joint, Standing)",Inquiry into PFAS remediation in and around Defence bases: Final report,False,True,False,,True,False,speakers_schedule,
1614,2022-03-31,"Public Accounts and Audit (Joint, Statutory)",Report 488 Commonwealth Financial Statements 2019-20,False,True,True,,True,False,speakers_schedule,
1614,2022-03-31,"Public Accounts and Audit (Joint, Statutory)",Report 491 Review of the Auditor-General Act 1997,False,True,True,,True,False,speakers_schedule,
1384,2022-11-16,"Treaties (Joint, Standing)",Report 201: Free Trade Agreement between Australia and the United Kingdom of Great Britain and Northern Ireland,False,True,False,,True,False,speakers_schedule,
1253,2023-03-27,"Northern Australia (Joint, Select)",Inquiry into the Cyclone Reinsurance Pool: First Report on the Cyclone Reinsurance Pool,False,True,False,,True,False,speakers_schedule,
1250,2023-03-30,"Public Accounts and Audit (Joint, Statutory)",Report 494: Inquiry into the Department of Foreign Affairs and Trade’s crisis management arrangements,False,True,True,,True,False,speakers_schedule,
1146,2023-07-12,"Corporations and Financial Services (Joint, Statutory)",Corporate insolvency in Australia,False,True,False,,True,False,speakers_schedule,
1083,2023-09-13,"Public Accounts and Audit (Joint, Statutory)",Report 500: Inquiry into procurement at Services Australia and the NDIA - Interim Report,False,True,True,,True,True,speakers_schedule,
1055,2023-10-11,"Trade and Investment Growth (Joint, Standing)",Australia's trade and investment opportunities in a global green economy,False,True,False,,True,False,speakers_schedule,
1049,2023-10-17,"Public Accounts and Audit (Joint, Statutory)",Report 499 Inquiry into the Annual Performance Statements 2021–22,False,True,True,,True,False,speakers_schedule,
1007,2023-11-28,"Aboriginal and Torres Strait Islander Affairs (Joint, Standing)",Inquiry into the application of the United Nations Declaration on the Rights of Indigenous Peoples in Australia,False,True,False,,True,False,speakers_schedule,
1006,2023-11-29,"Law Enforcement (Joint, Statutory)",Law enforcement capabilities in relation to child exploitation,False,True,False,,True,False,speakers_schedule,
937,2024-02-06,"Trade and Investment Growth (Joint, Standing)",Interim report - Inquiry into the Australian Government's approach to negotiating trade and investment agreements,False,True,False,,True,True,speakers_schedule,
888,2024-03-26,"Economics (House, Standing)","Better Competition, Better Prices: Report on the inquiry into promoting economic dynamism, competition and business formation",False,True,False,,True,False,speakers_schedule,
852,2024-05-01,"Trade and Investment Growth (Joint, Standing)",Strengthening Australia's approach to trade negotiations,False,True,False,,True,False,speakers_schedule,
825,2024-05-28,"Climate Change, Energy, Environment and Water (House, Standing)",Drowning in waste: Plastic pollution in Australia’s oceans and waterways,False,True,False,,True,False,speakers_schedule,
823,2024-05-30,"Human Rights (Joint, Statutory)",Inquiry into Australia’s Human Rights Framework,False,True,False,,True,False,speakers_schedule,
791,2024-07-01,"Public Works (Joint, Statutory)vi",Report 5/2024: Department of Defence – Australian Defence Force Academy Living-in Accommodation project and other works,False,True,False,,True,False,speakers_schedule,
