report_tabled,committee,title,response_received,complete_response,partial_response,within_period
2023-11-28,"Aboriginal and Torres Strait Islander Affairs (Joint, Standing)",Inquiry into the application of the United Nations Declaration on the Rights of Indigenous Peoples in Australia,,False,False,No
2024-11-26,"Aboriginal and Torres Strait Islander Affairs (Joint, Standing)",Inquiry into economic self- determination and opportunities for First Nations Australians,2026-03-31,False,False,No
2023-12-07,"Agriculture (House, Standing)",Australian Food Story: Feeding the Nation and Beyond,2026-06-22,False,False,No
2024-11-27,"Agriculture (House, Standing)",Trading North: Inquiry into the role of Australian agriculture in Southeast Asian Markets,,False,False,No
2022-03-30,"Australian Commission for Law Enforcement Integrity (Joint, Statutory)",Examination of the annual report of the Integrity Commissioner 2020-21,2026-03-19,False,False,No
2024-05-28,"Climate Change, Energy, Environment and Water (House, Standing)",Drowning in waste: Plastic pollution in Australia’s oceans and waterways,,False,False,No
2025-03-27,"Communications and the Arts (House, Standing)",Am I Ever Gonna See You Live Again? Yes way! You bet! Oh yeah!,2025-11-26,False,False,Yes
2023-07-10,"Corporations and Financial Services (Joint, Statutory)","Statutory inquiry into ASIC, the Takeovers Panel, and the corporations legislation: ASIC licence transfers",2026-03-23,False,False,No
2023-07-12,"Corporations and Financial Services (Joint, Statutory)",Corporate insolvency in Australia,,False,False,No
2024-12-05,"Corporations and Financial Services (Joint, Statutory)",Financial abuse: an insidious form of domestic violence,,False,False,No
2025-02-13,"Corporations and Financial Services (Joint, Statutory)",Wholesale investor and wholesale client tests,2026-03-31,False,False,No
2024-03-26,"Economics (House, Standing)","Better Competition, Better Prices: Report on the inquiry into promoting economic dynamism, competition and business formation",,False,False,No
2024-10-18,"Economics (House, Standing)",Flood failure to future fairness,,False,False,No
2026-06-29,"Economics (House, Standing)","A Level Paying Field Report on the inquiry into schemes, digital wallets and innovation in the payments sector",,False,False,Time not expired
2026-06-29,"Education (House, Standing)",Building Asia capability in Australia through the education system and beyond,,False,False,Time not expired
2025-02-05,"Electoral Matters (Joint, Standing)",From Classroom to Community: Civics education and political participation in Australia,2026-05-07,False,False,No
2026-06-30,"Electoral Matters (Joint, Standing)",Inquiry into the conduct of the 2025 federal election – interim report,,False,False,Time not expired
2024-03-25,"Employment, Education and Training (House, Standing)","Shared vision, equal pathways: Inquiry into the perceptions and status of vocational education and training",2026-04-01,False,False,No
2024-09-10,"Employment, Education and Training (House, Standing)",Study Buddy or Influencer,2026-04-01,False,False,No
2025-02-11,"Employment, Education and Training (House, Standing)",The future of work: Inquiry into the digital transformation of workplaces,2026-04-01,False,False,No
2019-12-13,"Environment and Energy (House, Standing)",Not without your approval: a way forward for nuclear technology in Australia,2026-03-10,False,False,No
2019-04-03,"Foreign Affairs, Defence and Trade (Joint, Standing)","Second Interim Report: freedom of religion and belief, the Australian experience",2026-03-19,False,False,No
2020-12-08,"Foreign Affairs, Defence and Trade (Joint, Standing)","Inquiry into the implications of the COVID- 19 pandemic for Australia’s foreign affairs, defence and trade",2026-06-22,False,False,No
2022-03-30,"Foreign Affairs, Defence and Trade (Joint, Standing)",Inquiry into PFAS remediation in and around Defence bases: Final report,,False,False,No
2023-10-18,"Foreign Affairs, Defence and Trade (Joint, Standing)",Inquiry into Australia’s tourism and international education sectors: 'Quality and Integrity - the Quest for Sustainable Growth': Interim Report into International Education,2026-03-31,False,False,No
2023-11-30,"Foreign Affairs, Defence and Trade (Joint, Standing)",The pursuit of equality: Inquiry into the rights of women and children,2026-03-12,False,False,No
2024-10-01,"Foreign Affairs, Defence and Trade (Joint, Standing)",‘Are we there yet?’: From recovery to resilience – opportunities and challenges for Australia’s tourism sector: Final report for the inquiry into Australia’s tourism and international education sectors,2026-03-31,False,False,No
2024-11-28,"Foreign Affairs, Defence and Trade (Joint, Standing)",Pursuing the Priorities of the Pacific Inquiry into Australia’s alignment with the priorities of Pacific Island countries,2026-05-12,False,False,No
2025-02-04,"Foreign Affairs, Defence and Trade (Joint, Standing)",Inquiry into Australia's efforts to advocate for the worldwide abolition of the death penalty,2026-06-25,False,False,No
2025-03-06,"Foreign Affairs, Defence and Trade (Joint, Standing)",Inquiry into the review of the operation of the amendments made by the Autonomous Sanctions Amendment (Magnitsky- style and Other Thematic Sanctions) Act 2021,2026-06-30,False,False,No
2026-01-29,"Foreign Affairs, Defence and Trade (Joint, Standing)",Inquiry into the Department of Defence Annual Report 2024-25,,False,False,Time not expired
2026-02-04,"Health Aged Care and Disability (House, Standing)",No child left behind: Report into the Thriving Kids initiative,,False,False,Time not expired
2024-07-03,"Health, Aged Care and Sport (House, Standing)",The State of Diabetes Mellitus in Australia in 2024,2026-05-12,False,False,No
2025-03-27,"Health, Aged Care and Sport (House, Standing)",Issues paper relating to the health impacts of alcohol and other drugs in Australia,2026-03-04,False,False,No
2024-05-30,"Human Rights (Joint, Statutory)",Inquiry into Australia’s Human Rights Framework,,False,False,No
2024-09-02,"Human Rights (Joint, Statutory)",Compulsory Income Management,,False,False,No
2025-02-12,"Human Rights (Joint, Statutory)",Inquiry into antisemitism at Australian universities,2026-03-23,False,False,No
2024-11-26,"Implementation of the National Redress Scheme (Joint, Standing)",Redress: Journey to Justice,2026-03-04,False,False,No
2025-02-20,"Industry, Science & Resources (House, Standing)",Food for Thought: The opportunities and challenges for Australia's food and beverage manufacturing industry,2026-05-14,False,False,No
2021-12-22,"Intelligence and Security (Joint, Statutory)",Review of the amendments made by the Telecommunications and Other Legislation Amendment (Assistance and Access) Act 2018,2025-11-26,False,False,No
2022-02-07,"Intelligence and Security (Joint, Statutory)",Advisory Report on the Intelligence Oversight and Other Legislation Amendment (Integrity Measures) Bill 2020,2026-03-23,False,False,No
2022-09-26,"Intelligence and Security (Joint, Statutory)",Review of the listing and re-listing of eight organisations as terrorist organisations under the Criminal Code,2026-05-13,False,False,No
2024-03-14,"Intelligence and Security (Joint, Statutory)",Advisory Report on the Defence Amendment (Safeguarding Australia's Military Secrets) Bill 2023,2026-05-12,False,False,No
2025-11-04,"Intelligence and Security (Joint, Statutory)",Advisory report on the Strengthening Oversight of the National Intelligence Community Bill 2025,,False,False,No
2026-01-20,"Intelligence and Security (Joint, Statutory)","Review of the Exposure Draft legislation: Combatting Antisemitism, Hate and Extremism Bill 2026",2026-06-30,False,False,Yes
2026-02-05,"Intelligence and Security (Joint, Statutory)",Advisory report on the Australian Security Intelligence Organisation Amendment Bill (No.2) 2025,2026-05-12,False,False,Yes
2026-02-05,"Intelligence and Security (Joint, Statutory)",Review of Division 3 of Part III of the Australian Security Intelligence Organisation Act 1979,2026-05-12,False,False,Yes
2026-03-12,"Intelligence and Security (Joint, Statutory)",Advisory Report on the Royal Commissions Legislation Amendment (Protections for Providing Information) Bill 2026,2026-03-31,False,False,Yes
2026-03-12,"Intelligence and Security (Joint, Statutory)",Review of the listing of the Islamic Revolutionary Guard Corps as a state sponsor of terrorism under the Criminal Code,,False,False,Time not expired
2026-05-22,"Intelligence and Security (Joint, Statutory)",Review of the Migration Amendment (Clarifying International Obligations for Removal) Act 2021,,False,False,Time not expired
2015-09-07,"Law Enforcement (Joint, Statutory)",Inquiry into financial related crime,2026-02-10,False,False,No
2017-09-06,"Law Enforcement (Joint, Statutory)",Inquiry into crystal methamphetamine (ice): First Report,2026-02-10,False,False,No
2018-03-27,"Law Enforcement (Joint, Statutory)",Inquiry into crystal methamphetamine (ice): Final Report,2026-02-10,False,False,No
2018-03-28,"Law Enforcement (Joint, Statutory)",Examination of the Australian Federal Police Annual Report 2015-16,2026-02-10,False,False,No
2019-04-04,"Law Enforcement (Joint, Statutory)",Impact of new and emerging information and communications technology,2026-02-03,False,False,No
2020-10-08,"Law Enforcement (Joint, Statutory)",Summary report of the 24 June 2020 public hearing on the Australian Institute of Criminology’s National Deaths in Custody Program,2022-03-29,False,False,No
2021-02-16,"Law Enforcement (Joint, Statutory)",An Australian Standard for the training and use of privately contracted security and detection dogs,2026-05-21,False,False,No
2021-06-21,"Law Enforcement (Joint, Statutory)","COVID-19, criminal activity and law enforcement",2026-02-10,False,False,No
2022-02-09,"Law Enforcement (Joint, Statutory)",Criminal Code Amendment (Sharing of Abhorrent Violent Material) Act 2019,2026-05-21,False,False,No
2023-11-29,"Law Enforcement (Joint, Statutory)",Law enforcement capabilities in relation to child exploitation,,False,False,No
2024-05-21,"Law Enforcement (Joint, Statutory)",Australia’s illicit drug problem: Challenges and opportunities for law enforcement,2026-04-23,False,False,No
2024-10-09,"Migration (Joint, Standing)","Migration, Pathway to Nation Building",,False,False,No
2024-05-06,"National Capital and External Territories (Joint, Standing)",A Capital for All Australians: Report of the inquiry into fostering and promoting the significance of Australia's National Capital,2026-06-02,False,False,No
2025-02-10,"National Capital and External Territories (Joint, Standing)",Australia's Antarctic Territory Report on the Inquiry into the Importance of Antarctica to Australia's National Interests,2026-05-12,False,False,No
2025-11-06,National Disability Insurance Scheme – Joint Standing,"NDIS participant experience in rural, regional and remote Australia",2026-05-21,False,False,Yes
2026-03-11,National Disability Insurance Scheme – Joint Standing,Annual Report No. 1 of the 48th Parliament,,False,False,Time not expired
2022-02-08,"Northern Australia (Joint, Standing)",Final report into the engagement of traditional owners in the economic development of Northern Australia,2026-04-01,False,False,No
2023-03-27,"Northern Australia (Joint, Select)",Inquiry into the Cyclone Reinsurance Pool: First Report on the Cyclone Reinsurance Pool,,False,False,No
2023-11-30,"Northern Australia (Joint, Select)",Northern Australia workforce development: First report,2026-05-12,False,False,No
2024-11-27,"Northern Australia (Joint, Select)",Northern Australia Workforce Development: Final Report,2026-05-12,False,False,No
2025-03-26,"Northern Australia (Joint, Select)",Final Report on the Cyclone Reinsurance Pool,,False,False,No
2020-12-09,"Public Accounts and Audit (Joint, Statutory)",Report 485: Cyber Resilience: Inquiry into Auditor-General’s Reports 1 and 13 (2019-20),,False,True,No
2021-08-24,"Public Accounts and Audit (Joint, Statutory)","Report 486: Regulatory Activities - Inquiry into Auditor-Generals Reports 33, 47, 48 (2019-20) and 5 and 8 (2020-21)",,False,True,No
2022-03-31,"Public Accounts and Audit (Joint, Statutory)",Report 488 Commonwealth Financial Statements 2019-20,,False,True,No
2022-03-31,"Public Accounts and Audit (Joint, Statutory)",Report 490 Alternative Financing Mechanisms,,True,False,Yes
2022-03-31,"Public Accounts and Audit (Joint, Statutory)",Report 491 Review of the Auditor-General Act 1997,,False,True,No
2022-04-12,"Public Accounts and Audit (Joint, Statutory)",Report 492 Governance in the Stewardship of Public Resources,,True,False,No
2023-03-30,"Public Accounts and Audit (Joint, Statutory)",Report 494: Inquiry into the Department of Foreign Affairs and Trade’s crisis management arrangements,,False,True,No
2023-09-13,"Public Accounts and Audit (Joint, Statutory)",Report 500: Inquiry into procurement at Services Australia and the NDIA - Interim Report,,False,True,No
2023-10-17,"Public Accounts and Audit (Joint, Statutory)",Report 499 Inquiry into the Annual Performance Statements 2021–22,,False,True,No
2024-06-26,"Public Accounts and Audit (Joint, Statutory)",Report 502: The never- ending quest for the golden thread: Probity and ethics in the Australian public sector,,True,False,Yes
2024-06-26,"Public Accounts and Audit (Joint, Statutory)",Report 503: Inquiry into the Defence Major Projects Report 2020-21 and 2021-22 and Procurement of Hunter Class Frigates: Final Report,,True,False,No
2024-06-26,"Public Accounts and Audit (Joint, Statutory)",Report 504: Inquiry into Services Australia and the NDIA: Final Report,,True,False,Yes
2024-11-04,"Public Accounts and Audit (Joint, Statutory)",Report 505: Inquiry into Policy and Program Design and Implementation,,False,True,No
2024-11-04,"Public Accounts and Audit (Joint, Statutory)",Report 506: Inquiry into Commonwealth Financial Statements 2022-2023,,False,True,No
2025-02-04,"Public Accounts and Audit (Joint, Statutory)",Report 507: Defence 2022–23 Major Projects Report,,True,False,No
2025-03-25,"Public Accounts and Audit (Joint, Statutory)",Report 511: Inquiry into the contract management frameworks operated by Commonwealth entities,,True,False,No
2025-03-25,"Public Accounts and Audit (Joint, Statutory)",Report 509: Inquiry into public sector information technology procurement and projects,,True,False,Yes
2025-03-25,"Public Accounts and Audit (Joint, Statutory)",Report 510: Inquiry into the use and governance of artificial intelligence systems by public sector entities - 'Proceed with Caution',,False,False,No
2025-03-26,"Public Accounts and Audit (Joint, Statutory)",Report 512: Report of the inquiry into the administration of Commonwealth regulations,,True,False,No
2026-02-11,"Public Accounts and Audit (Joint, Statutory)",Report 514: Inquiry into the procurement of mandated national support and advocacy services for victims of child sexual abuse,,False,False,Time not expired
2026-03-13,"Public Accounts and Audit (Joint, Statutory)",Report 515: Inquiry into the effectiveness of Australia’s National Anti- Doping Scheme,,False,False,Time not expired
2024-07-01,"Public Works (Joint, Statutory)",Report 5/2024: Department of Defence – Australian Defence Force Academy Living-in Accommodation project and other works,,False,False,No
2026-03-04,"Public Works (Joint, Statutory)",Eighty Ninth Annual Report,2026-05-12,False,False,Yes
2023-12-15,"Regional Development, Infrastructure and Transport (House, Standing)","Inquiry into the implications of severe weather events on the national regional, rural, and remote road network",2026-03-05,False,False,No
2024-11-04,"Social Media and Australian Society (Joint, Select)",Digital platforms and the traditional news media – Second interim report,,False,False,No
2024-11-04,"Social Media and Australian Society (Joint, Select)",Digital platforms and the traditional news media – Final report,,False,False,No
2023-06-26,"Social Policy and Legal Affairs (House, Standing)","You win some, you lose more: Online gambling and its impacts on those experiencing gambling harm",2026-05-12,False,False,No
2024-03-27,"Social Policy and Legal Affairs (House, Standing)","Recognising, valuing and supporting unpaid carers: Inquiry into the recognition of unpaid carers",2026-03-11,False,False,No
2023-10-11,"Trade and Investment Growth (Joint, Standing)",Australia's trade and investment opportunities in a global green economy,,False,False,No
2024-02-06,"Trade and Investment Growth (Joint, Standing)",Interim report - Inquiry into the Australian Government's approach to negotiating trade and investment agreements,,False,False,No
2024-05-01,"Trade and Investment Growth (Joint, Standing)",Strengthening Australia's approach to trade negotiations,,False,False,No
2025-02-28,"Trade and Investment Growth (Joint, Standing)",Final report: Inquiry into the understanding and utilisation of benefits under free trade agreements,,False,False,No
2022-11-16,"Treaties (Joint, Standing)",Report 201: Free Trade Agreement between Australia and the United Kingdom of Great Britain and Northern Ireland,,False,False,No
2026-03-26,"Treaties (Joint, Standing)",Report 231: - Pacific Resilience and Sport Manipulation Treaties,,False,False,Time has not expired
