source_id,label,state,verdict,department,the_words_that_point_elsewhere,the_sentence_they_are_in,recommendation,government_words,url
1102,7,noted,,Joint Standing Committee on the National Disability Insurance Scheme (NDIS),the responsibility of states and territories,Applied Principle 8 outlines housing and community infrastructure responsibilities with homelessness related services primarily the responsibility of states and territories,The committee recommends that the National Disability Insurance Agency develop a strategy to engage with people with disability who are homeless and to work with this cohort or participants once their access requests have been approved. Previous,"Noted ‘All governments have agreed to the “Principles to determine the responsibilities of the NDIS and other service systems”, including Applies Principles and Tables of Support (Applied Principle). Applied Principle 8 outlines housing and community infrastructure responsibilities with homelessness related services primarily the responsibility of states and territories. This includes homelessness",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/1102
1102,8,noted,,Joint Standing Committee on the National Disability Insurance Scheme (NDIS),the responsibility of state and territory,"Noted ‘The Government notes the recommendation to implement homelessness Liaison Officers for the NDIS, but recognises that homelessness services remain the responsibility of state and territory governments",The committee recommends that the National Disability Insurance Agency introduce Liaison Officers to work with homelessness organisations and related services to facilitate improved National Disability Insurance Scheme (NDIS) access and planning for people with disability who are homeless and eligib,"Noted ‘The Government notes the recommendation to implement homelessness Liaison Officers for the NDIS, but recognises that homelessness services remain the responsibility of state and territory governments. The NDIA currently has a network of Health and Justice Liaison Officers [JLOs] who support both participants and mainstream systems to understand and connect to the NDIS, including participant",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/1102
12529,9,position,in part or in principle,"House Standing Committee on Health, Aged Care and Sport",a matter for the states and territory,Decisions on procurement and establishment of product databases are a matter for the states and territory gover,"The Committee recommends that the Australian Government should mandate consistent labelling for all products containing chlorhexidine, iodine and latex to ensure consumers and healthcare workers can readily identify these products. In addition: • alternatives for chlorhexidine, iodine and latex shou","Partially supported Chlorhexidine and iodine must already be clearly identified on medicine labels as they are active pharmaceutical ingredients. Similarly, when present in medical devices, chlorhexidine and iodine are identified on labelling or packaging. In addition, certain substances that are allergens or present health risks to some consumers must by law be declared on medicine labels. While ",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/12529
12659,57,position,in part or in principle,House of Representatives Standing Committee on Social Policy and Legal Affairs,the responsibility of states and territories,"Advertising in outdoor settings, including train stations, stadiums, and billboards, is the responsibility of states and territories",The Committee recommends that the Australian Government support national research and awareness raising campaigns into sexist advertising and the negative effects of unequal gender representation,"Supported in principle Advertising regulation in Australia is intended to strike a balance between legitimate commercial interests and appropriate community safeguards. The Australian Government has responsibility for broadcasting and online services. Advertising in outdoor settings, including train stations, stadiums, and billboards, is the responsibility of states and territories. Most content b",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/12659
12659,84,noted,,House of Representatives Standing Committee on Social Policy and Legal Affairs,the primary responsibility of state and territory,Noted Policing responses to FDSV are the primary responsibility of state and territory governments,The Committee recommends that the Australian Government work with the states and territories to adopt a variant of the United Kingdom’s ‘Silent Solution’ for silent calls for police assistance,"Noted Policing responses to FDSV are the primary responsibility of state and territory governments. The Government will work with state and territory governments to consider the merits of best practice models for police assistance in a domestic context, including the United Kingdom’s silent calls for police assistance",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/12659
12659,85,noted,,House of Representatives Standing Committee on Social Policy and Legal Affairs,the responsibility of state and territory,Noted Criminal penalties for breaches of apprehended or domestic violence orders is the responsibility of state and territory governments,"The Committee recommends that the states and territories increase criminal penalties for breaches of apprehended or domestic violence orders, and ensure that the judiciary receives further training about the importance of security to victim-survivors of family, domestic and sexual violence and their","Noted Criminal penalties for breaches of apprehended or domestic violence orders is the responsibility of state and territory governments. The Government will work with state and territory governments through appropriate national fora, such as SCAG, to consider the appropriateness of existing criminal penalties for breaches of apprehended or domestic violence orders issued within their jurisdictio",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/12659
14009,14,noted,,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts portfolio",a matter for state and territory,"The Government acknowledges that the actions of this recommendation are a matter for state and territory regulation and police enforcement services in the context of health, safety and event legislation in each state and territory and common law",The Committee recommends state and territory governments consider a reduction or abolition of user-pays policing charges at music festivals,"The Government notes this recommendation. The Government acknowledges that the actions of this recommendation are a matter for state and territory regulation and police enforcement services in the context of health, safety and event legislation in each state and territory and common law",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/14009
14009,15,noted,,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts portfolio",a matter for state and territory,"The Government acknowledges that the actions of this recommendation are a matter for state and territory regulation and police enforcement services in the context of health, safety and event legislation in each state and territory and common law",The Committee recommends state and territory governments re-evaluate the need for large police presences at live music events and the use of sniffer dogs and strip-searches,"The Government notes this recommendation. The Government acknowledges that the actions of this recommendation are a matter for state and territory regulation and police enforcement services in the context of health, safety and event legislation in each state and territory and common law",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/14009
14009,18,noted,,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts portfolio","is a matter for state, territory","The Government considers this recommendation is a matter for state, territory and local governments","The Committee recommends state, territory and local governments support the development of dedicated and permanent outdoor live music spaces (such as sound shells and associated equipment and infrastructure) to reduce the marginal cost of staging events for presenters. 4.51 The Committee recommends ","The Government notes this recommendation. The Government considers this recommendation is a matter for state, territory and local governments. The policy and regulatory settings of local infrastructure projects fall with the jurisdictions who also hold responsibility over budget priorities",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/14009
14009,7,noted,,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts portfolio",is a matter for state and territory,"As each state and territory may address the topic of a rebate or voucher scheme differently based on the specific needs of their own jurisdictions and budget priorities, the Government considers this recommendation is a matter for state and territory governments",The Committee recommends the Australian Government assess the viability of a rebate or voucher scheme to incentivise younger audiences to attend live music. 4.32 This may include offering event presenters a rebate to compensate them for income foregone by offering discounted tickets to young audienc,"The Government notes this recommendation. The arts and cultural sectors have been advocating for a culture pass or voucher system to incentivise young people to attend live music and stimulate the industry through increased attendance. Evidence shows that the pandemic impacted audience confidence in attending live events and ticket-buying behaviour, in particular by young people. As each state and",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/14009
15205,21,position,accepted,Department of Social Services,the responsibility of state and territory,"Any response to the High Court of Australia’s decision in GLJ v the Trustees of the Roman Catholic Church for the Diocese of Lismore (2023) 414 ALR 635 (GLJ), is the responsibility of state and territory governments who are responsible for respective civil liability legislation",1.118The Committee recommends that the Commonwealth encourages state and territory governments to codify in legislation the basis on which the courts may grant permanent stays. 1.119This should be consistent with the High Court’s ruling in the GLJ case,"The Australian Government agrees to this recommendation. In response to the Royal Commission into Institutional Responses to Child Sexual Abuse, all states and territories removed statutes of limitation for historic child sexual abuse matters to ensure access to justice for survivors. Any response to the High Court of Australia’s decision in GLJ v the Trustees of the Roman Catholic Church for the ",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15205
15837,7,noted,,,primarily a matter for the South Australian,This is primarily a matter for the South Australian Government,The committee recommends that the Australian Government and South Australian Government evaluate the current investment towards community resilience programs and mental health support services and explore continued or further investment as required for communities impacted by the toxic algal bloom,"The Australian Government notes this recommendation. This is primarily a matter for the South Australian Government. Through the Health, Disability and Ageing portfolio, the Australian Government is investing an estimated $8 billion in 2025-26 in mental health and suicide prevention. This investment will deliver critical mental health services and expand the range and reach of free mental health s",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15837
15837,8,noted,,,is a matter for the South Australian,This recommendation is a matter for the South Australian Government,"The committee recommends that the South Australian Government provides timely, clear and scientifically informed public health advice",The Australian Government notes this recommendation. This recommendation is a matter for the South Australian Government,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15837
15844,18,position,accepted,Australian Trade and Investment Commission (Austrade),the responsibility of states and territories,We note that STO board appointments are ultimately the responsibility of states and territories,"The Committee recommends the Australian Government works with State and Regional Tourism Organisations to promote the inclusion of people with a disability in the tourism sector, including through inclusion on national and state tourism organisation boards","The Government agrees with this Recommendation. The Australian Government will actively work towards increasing the representation of people with disability in the tourism sector, including organisation boards in line with our commitment under Australia’s Disability Strategy 2021-2031. We note that STO board appointments are ultimately the responsibility of states and territories. The Government s",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15844
17098,3,position,in part or in principle,Attorney-General's Department,the responsibility of state and territory,3 Legislation governing firearms use and possession is the responsibility of state and territory governments,"The Committee recommends that the Australian Government, in implementing the provisions contained in Schedule 4 of the Exposure Draft legislation, including negotiations with States and Territories around the national gun buyback, ensure: • the avoidance of duplication, inconsistency and unintended ","The Australian Government agrees-in-principle to the recommendation. The Department of Home Affairs will provide clear guidance to importers and individuals impacted by changes to the Customs (Prohibited Imports) Regulations 1956 made by the Combatting Antisemitism, Hate and Extremism (Firearms and Customs Laws) Act 2026. 3 Legislation governing firearms use and possession is the responsibility of",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/17098
4165,10,noted,,Senate Environment and Communications References Committee,the responsibility of state and territory,"Noted It is the responsibility of state and territory governments to manage the risk to humans from sharks and engage with stakeholder groups, including research bodies and surf lifesaving organisations to implement research, development, and testing of shark mitigation and deterrent measures","The committee recommends that the Minister for the Environment and Energy and relevant state governments work with key stakeholder groups, such as national surfing organisations, to encourage water users to take all reasonable steps to reduce the probability of being involved in a shark bite inciden","Noted It is the responsibility of state and territory governments to manage the risk to humans from sharks and engage with stakeholder groups, including research bodies and surf lifesaving organisations to implement research, development, and testing of shark mitigation and deterrent measures. In 2022, the NESP Marine and Coastal Hub’s research priorities include targeted biodiversity and taxonomy",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/4165
5110,5,noted,,Senate Economics Legislation Committee,is a matter for state and territory,"The regulation of residential tenancies, including rental agreements and pricing, is a matter for state and territory governments","The Government must commit to meaningful action for renters, including the delivery of culturally safe tenancy support programs for First Nations tenants in all states and territories (such as expanding the ‘More than a Landlord’ program in Victoria). This would also include putting rent controls on","The Government notes this recommendation. This recommendation is beyond the scope of the legislative package. The regulation of residential tenancies, including rental agreements and pricing, is a matter for state and territory governments. On 16 August 2023, National Cabinet agreed to A Better Deal for Renters, which includes developing a nationally consistent policy to require genuine reasonable",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5110
