response_id,response_tabled,classification,query,best_candidate_id,best_candidate_tabled,best_candidate_title,score_normalised,verdict,note
150,2022-08-18,substantive,Australia's sovereign naval shipbuilding capability,,,,0.00,no candidate,the search returns no committee document tabled before the response
164,2022-04-21,substantive,Advocating for the elimination of child and forced marriage,,,,0.00,no candidate,the search returns no committee document tabled before the response
405,2022-10-13,substantive,Accountability and justice: Why we need a Royal Commission into Robodebt - October 2022,11399,2022-07-27,"Aged Care Quality and Safety—Royal Commission—Aged care and COVID-19: a special report—Document presented by Ms Wells, 27 July 2022",0.23,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
406,2022-10-13,substantive,Inquiry into Centrelink’s Compliance Program - Fifth interim report - October 2022,388,2022-09-30,"Report No. 139—Financial services legislation—Interim report B, September 2022",0.29,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
715,2022-11-03,substantive,Online Safety Bill 2021 [Provisions] and Online Safety (Transitional Provisions and Consequential Amendments) Bill 2021 [Provisions] - November 2022,197,2022-08-31,Climate Change Bill 2022 [Provisions] and Climate Change (Consequential Amendments) Bill 2022 [Provisions],0.38,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
771,2022-11-17,substantive,Human Rights: Final report into certain aspects of the Department of Foreign Affairs and Trade Annual Report 2019-20,562,2022-10-25,Australian Human Rights Commission Annual Report 2021-22,0.27,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
772,2022-11-17,substantive,Advisory Report on the National Security Legislation Amendment (Comprehensive Review and Other Measures No. 1) Bill 2021,116,2022-08-03,"2021-22 Review of the Legislation Act 2003—Report, June 2022",0.33,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
921,2022-12-08,substantive,"Services, support and life outcomes for autistic Australians, December 2022",575,2022-10-25,International Air Services Commission Annual Report 2021-22,0.12,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
941,2022-12-16,substantive,Territories Stolen Generations Redress Scheme (Facilitation) Bill 2021 [Provisions] and Territories Stolen Generations Redress Scheme (Consequential Amendments) Bill 2021 [Provisions],197,2022-08-31,Climate Change Bill 2022 [Provisions] and Climate Change (Consequential Amendments) Bill 2022 [Provisions],0.22,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
964,2023-01-19,substantive,Senate Community Affairs Legislation Committee - Inquiry into the Social Services Legislation Amendment (Enhancing Pensioner and Veteran Workforce Participation) Bill 2022,389,2022-09-30,Social Services Legislation Amendment (Enhancing Pensioner and Veteran Workforce Participation) Bill 2022,0.73,below the bar,a candidate exists but the titles differ by more than a bracketed date
965,2023-01-19,substantive,"Report 3 2020 - National Education Centre for the Great Barrier Reef, Reef HQ",222,2022-09-06,Commonwealth Grants Commission annual report 2020-21—Replacement,0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
986,2023-02-02,substantive,Current scheme implementation and forecasting for the NDIS,704,2022-11-03,National Disability Insurance Scheme (NDIS) Quality and Safeguards Commission Annual Report 2021-22,0.20,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
1102,2023-02-09,substantive,General Issues 2021,,,,0.00,no candidate,the search returns no committee document tabled before the response
1140,2023-02-20,substantive,"Review of the mandatory data retention regime, February 2023",1087,2023-02-08,"Scrutiny digest 1 of 2023, 8 February 2023",0.29,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
1143,2023-02-23,substantive,"Inquiry into the human rights of women and girls in the Pacific, February 2023",1096,2023-02-09,Human rights scrutiny report 1 of 2023 [8 February 2023],0.57,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
1231,2023-03-02,substantive,Inquiry into Independent Assessments,313,2022-09-26,2021 Annual and Final Report of the Independent Scientific Committee on Wind Turbines,0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
1324,2023-03-07,substantive,National security risks affecting the Australian higher education and research sector,,,,0.00,no candidate,the search returns no committee document tabled before the response
1346,2023-03-09,substantive,Annual Reports No. 2 of 2010,1359,2023-03-09,Annual reports (No. 1 of 2023) [March 2023],0.50,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
1509,2023-03-21,substantive,Data Availability and Transparency Bill 2020 [Provisions] and Data Availability and Transparency (Consequential Amendments) Bill 2020 [Provisions] April 2021,706,2022-11-03,Office of the National Data Commissioner Annual Report 2021-22,0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
1568,2023-03-22,substantive,Hope is not a strategy – our shared responsibility for the future of work and workers,1360,2023-03-09,Select Committee on Work and Care - Final report [March 2023],0.11,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
1704,2023-04-06,substantive,"Systemic, sustained and shameful: unlawful underpayment of employees’ remuneration",,,,0.00,no candidate,the search returns no committee document tabled before the response
1716,2023-04-20,substantive,NDIS Quality and Safeguards Commissioner,704,2022-11-03,National Disability Insurance Scheme (NDIS) Quality and Safeguards Commission Annual Report 2021-22,0.30,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
1717,2023-04-20,substantive,Inquiry into the adequacy and efficacy of Australia's anti-money laundering and counter-terrorism financing (AML/CTF) regime,1674,2023-03-29,Report on proposed recommendations for appointments to the National Anti-Corruption Commission,0.09,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
1743,2023-05-09,substantive,Regulation of the use of financial services such as credit cards and digital wallets for online gambling in Australia,155,2022-08-24,Social Services and Other Legislation Amendment (Lifting the Income Limit for the Commonwealth Seniors Health Card) Bill 2022 [Provisions],0.09,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
2841,2023-07-13,substantive,National Disability Insurance Scheme Amendment (Participant Service Guarantee and Other Measures) Bill 2021,704,2022-11-03,National Disability Insurance Scheme (NDIS) Quality and Safeguards Commission Annual Report 2021-22,0.50,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
3386,2023-09-14,substantive,Administration of the referendum into an Aboriginal and Torres Strait Islander Voice,2400,2023-06-09,Administration of the referendum into an Aboriginal and Torres Strait Islander Voice [June 2023],1.00,confirmed,"one candidate, exact after normalising a trailing bracketed date; committee and date order both agree"
3427,2023-09-14,substantive,"Review of police powers in relation to terrorism, the control order regime, the preventative detention order regime and the continuing detention order regime",2064,2023-05-11,Review of the Counter-Terrorism (Temporary Exclusion Orders) Act 2019 [April 2023],0.18,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
3519,2023-10-09,substantive,Driving Reform: final report for the Inquiry into Road Safety,11348,2022-07-27,Driving reform: Final report for the inquiry into road safety [March 2022],1.00,confirmed,"one candidate, exact after normalising a trailing bracketed date; committee and date order both agree"
4130,2023-11-09,substantive,Conduct of the 2022 federal election and other matters – Interim Report,2565,2023-06-20,Conduct of the 2022 federal election and other matters [Interim report - June 2023],0.75,below the bar,a candidate exists but the titles differ by more than a bracketed date
4165,2023-12-07,substantive,Shark mitigation and deterrent measures,,,,0.00,no candidate,the search returns no committee document tabled before the response
4166,2023-11-14,substantive,Public communications campaigns targeting drug and substance abuse,642,2022-10-26,Australian Communications and Media Authority and eSafety Commissioner Annual Report 2021-22,0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
4490,2023-12-07,substantive,Practice of dowry and the incidence of dowry abuse in Australia,3448,2023-09-29,"Nature and extent of violence, abuse, neglect and exploitation [Final report - volume 3]",0.12,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
4520,2023-12-14,substantive,Effectiveness of the Australian Government’s Northern Australia Agenda,4360,2023-11-30,Northern Australia Workforce Development: First Report [November 2023],0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
4724,2024-01-18,substantive,Aged Care and Other Legislation Amendment (Royal Commission Response No. 2) Bill 2021,545,2022-10-25,Aged Care Quality and Safety Commission Annual Report 2021-22,0.57,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
4774,2024-01-25,substantive,Senate Economics Legislation Committee - Offshore Petroleum and Greenhouse Gas Storage Amendment (Benefit to Australia) Bill 2020,769,2022-11-17,Offshore Electricity Infrastructure Legislation Amendment Bill 2022 [Provisions],0.11,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5550,2024-03-27,substantive,Inquiry into the Fair Work Commission Annual Report 2019-2020,3806,2023-10-18,Fair Work Commission Annual Report 2022-23,0.67,below the bar,a candidate exists but the titles differ by more than a bracketed date
5631,2024-04-11,substantive,The national trend of school refusal and related matters,3063,2023-08-10,The national trend of school refusal and related matters [August 2023],1.00,confirmed,"one candidate, exact after normalising a trailing bracketed date; committee and date order both agree"
5745,2024-05-02,proforma_closure,Carbon Credits (Carbon Farming Initiative) Amendment Bill 2017 [Provisions],,,,0.00,no candidate,the search returns no committee document tabled before the response
5746,2024-05-02,proforma_closure,Clean Energy Finance Corporation Amendment (Grid Reliability Fund) Bill 2020,1363,2023-03-10,National Reconstruction Fund Corporation Bill 2022 [Provisions],0.25,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5748,2024-05-02,proforma_closure,"Current and future impacts of climate change on housing, buildings and infrastructure",,,,0.00,no candidate,the search returns no committee document tabled before the response
5750,2024-05-02,proforma_closure,Direct Action: Paying polluters to halt global warming,3646,2023-10-11,Australia's trade and investment opportunities in a global green economy [October 2023],0.14,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
5751,2024-05-02,proforma_closure,Retirement of coal fired power stations – Final report,3446,2023-09-29,Voices of people with disability [Final report - volume 1],0.17,not in the register,nothing close; the report predates the Tabled Documents register or is not in it
