commission_id,role,carries_recommendations,answers,id,type,additional_type,category,title,author,department,tabled_senate,tabled_house,parliament,files,url,note
robodebt,report,yes,,2743,Royal commission,,Government Document,Royal Commission into the Robodebt Scheme,,,2023-07-07,2023-07-31,47,4146|Report of the Royal Commission into the Robodebt Scheme.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/2743,"The whole report in one file, list of recommendations and all"
robodebt,corrigendum,,,2915,Royal commission,Corrigendum,Government Document,Royal Commission into the Robodebt Scheme [Corrigendum],,,2023-07-27,2023-07-31,47,4397|Corrigendum to the report of the Royal Commission into the Robodebt Scheme.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/2915,
robodebt,response,,2743,4163,Other,,Government Document,Government Response | Royal Commission Into The Robodebt Scheme November 2023 [November 2023],,,2023-11-14,2023-11-13,47,6339|Government Response to the Royal Commission into the Robodebt Scheme.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/4163,Typed Other in the register rather than Government response
robodebt,other,,,15488,Other,,Government Document,Royal Commission into the Robodebt Scheme—Referrals,Attorney-General's Department,Attorney-General's Department,,2026-03-12,48,27638|Closed Chapter -  Recommendations and Referrals - Final.pdf,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15488,The closed chapter; referrals rather than numbered recommendations
disability,report,yes,,3444,Royal commission,,Government Document,"Executive Summary, Our vision for an inclusive Australia and Recommendations [Final report]","Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",Attorney-General's Department,2023-09-29,2023-10-18,47,"5245|Final Report - Executive Summary, Our vision for an inclusive Australia and Recommendations.pdf",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/3444,The volume the final report puts all 222 recommendations in
disability,report,,,3446,Royal commission,,Government Document,Voices of people with disability [Final report - volume 1],"Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",Attorney-General's Department,2023-09-29,2023-10-18,47,"5246|Final Report - Volume 1, Voices of people with disability - Book 2.pdf; 5247|Final Report - Volume 1, Voices of people with disability - Book 3.pdf; 5248|Final Report - Volume 1, Voices of people with disability - Book 1.pdf",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/3446,Volume 1
disability,report,,,3447,Royal commission,,Government Document,About the Royal Commission [Final report - volume 2],"Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",Attorney-General's Department,2023-09-29,2023-10-18,47,"5249|Final Report - Volume 2, About the Royal Commission.pdf",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/3447,Volume 2
disability,report,,,3448,Royal commission,,Government Document,"Nature and extent of violence, abuse, neglect and exploitation [Final report - volume 3]","Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",Attorney-General's Department,2023-09-29,2023-10-18,47,"5250|Final Report - Volume 3, Nature and Extent of Violence, abuse, neglect and exploitation.pdf",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/3448,Volume 3
disability,report,,,3449,Royal commission,,Government Document,Realising the human rights of people with disability [Final report - volume 4],"Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",Attorney-General's Department,2023-09-29,2023-10-18,47,"5251|Final Report - Volume 4, Realising the human rights of people with disability.pdf",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/3449,Volume 4
disability,report,,,3450,Royal commission,,Government Document,Governing for inclusion [Final report - volume 5],"Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",Attorney-General's Department,2023-09-29,2023-10-18,47,"5252|Final Report - Volume 5, Governing for inclusion.pdf",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/3450,Volume 5
disability,report,,,3451,Royal commission,,Government Document,Enabling autonomy and access [Final report - volume 6],"Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",Attorney-General's Department,2023-09-29,2023-10-18,47,"5253|Final Report - Volume 6, Enabling autonomy and access.pdf",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/3451,Volume 6
disability,report,,,3452,Royal commission,,Government Document,"Inclusive education, employment and housing [Final report - volume 7]","Royal Commission into Violence, Abuse, Neglect and Exploitation of People with Disability",Attorney-General's Department,2023-09-29,2023-10-18,47,"5254|Final Report - Volume 7, Inclusive education, employment and housing - Part C.pdf; 5255|Final Report - Volume 7, Inclusive education, employment and housing - Summary and recommendations.pdf; 5256|Final Report - Volume 7, Inclusive education, employment and housing - Part A.pdf; 5257|Final Report - Volume 7, Inclusive education, employment and housing - Part B.pdf",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/3452,Volume 7
