id,tabled,notes_sentences,labels,labels_contiguous,counted,recommendations_counted,excluded_because,title,url
5745,2024-05-02,7,3,yes,no,0,7 notes sentences against 3 labels,Australian Government response to the Environment and Communications Legislation Committee report: Carbon Credits (Carbon Farming Initiative) Amendment Bill 2017 [Provisions] [May 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5745
5746,2024-05-02,8,6,yes,no,0,8 notes sentences against 6 labels,Australian Government response to the Environment and Communications Legislation Committee report: Clean Energy Finance Corporation Amendment (Grid Reliability Fund) Bill 2020 [May 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5746
5748,2024-05-02,65,33,yes,no,0,65 notes sentences against 33 labels,"Australian Government response to the Environment and Communications References Committee report: Current and future impacts of climate change on housing, buildings and infrastructure",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5748
5750,2024-05-02,21,16,yes,no,0,21 notes sentences against 16 labels,Australian Government response to the Environment and Communications References Committee report: Direct Action: Paying polluters to halt global warming [May 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5750
5751,2024-05-02,10,9,yes,no,0,10 notes sentences against 9 labels,Australian Government response to the Environment and Communications References Committee report: Retirement of coal fired power stations – Final report [May 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5751
5753,2024-05-02,4,4,yes,yes,4,,Australian Government response to the Environment and Communications References Committee report: Retirement of coal fired power stations - Interim Report [May 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5753
5755,2024-05-02,7,5,yes,no,0,7 notes sentences against 5 labels,Australian Government response to the Senate Select Committee into the Scrutiny of Government Budget Measures Fourth interim report [May 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5755
5757,2024-05-02,15,14,yes,no,0,15 notes sentences against 14 labels,Australian Government response to the Senate Select Committee into Jobs for the Future in Regional Areas Report [May 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5757
5759,2024-05-02,22,11,yes,no,0,22 notes sentences against 11 labels,Australian Government response to the Senate Select Committee into the Resilience of Electricity Infrastructure in a Warming World report: Stability and Affordability: Forging a path to Australia's renewable energy future [May 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5759
5812,2024-05-09,33,33,yes,yes,33,,Australian Government response to the Senate Education and Employment Reference Committee report: A National Disgrace: The Exploitation of Temporary Work Visa Holders [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5812
5814,2024-05-09,18,16,yes,no,0,18 notes sentences against 16 labels,Australian Government response to the Senate Finance and Public Administration References Committee Final Report: Lessons to be learned in relation to the Australian bushfire season 2019-20 [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5814
5815,2024-05-09,18,18,yes,yes,18,,"Australian Government response to the Senate Foreign Affairs, Defence and Trade References Committee report: Issues facing diaspora communities in Australia [April 2024]",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5815
5817,2024-05-09,3,1,yes,no,0,3 notes sentences against 1 labels,Australian Government response to the Senate Legal and Constitutional Affairs Legislation Committee report: Migration Amendment (Clarification of Jurisdiction) Bill 2018 [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5817
5818,2024-05-09,5,2,yes,no,0,5 notes sentences against 2 labels,Australian Government response to the Senate Legal and Constitutional Affairs Legislation Committee report: Migration Amendment (Strengthening the Character Test) Bill 2021 [Provisions] [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5818
5821,2024-05-09,6,4,yes,no,0,6 notes sentences against 4 labels,Australian Government response to the Senate Legal and Constitutional Affairs Legislation Committee report: Migration and Citizenship Legislation Amendment (Strengthening Information Provisions) Bill 2020 [Provisions] [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5821
5829,2024-05-09,8,5,yes,no,0,8 notes sentences against 5 labels,Australian Government response to the Senate Legal and Constitutional Affairs Legislation Committee - report: Migration and Maritime Powers Legislation Amendment (Resolving the Asylum Legacy Caseload) Bill 2014 [Provisions] [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5829
5830,2024-05-09,12,6,yes,no,0,12 notes sentences against 6 labels,Australian Government Response to the Senate Legal and Constitutional Affairs Legislation Committee report: National Emergency Declaration Act 2020 [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5830
5831,2024-05-09,3,2,yes,no,0,3 notes sentences against 2 labels,Australian Government response to the Senate Legal and Constitutional Affairs Legislation Committee report: New Skilled Regional Visas (Consequential Amendments) Bill 2019 [Provisions] [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5831
5833,2024-05-09,26,21,yes,no,0,26 notes sentences against 21 labels,Australian Government response to the Senate Legal and Constitutional Affairs References Committee report: Effectiveness of the current temporary skilled visa system in targeting genuine skills shortages [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5833
5834,2024-05-09,13,11,yes,no,0,13 notes sentences against 11 labels,"Australian Government response to the Senate Legal and Constitutional Affairs References Committee report The efficacy, fairness, timeliness and costs of the processing and granting of visa classes which provide for or allow for family and partner reunions [April 2024]",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5834
5835,2024-05-09,38,18,yes,no,0,38 notes sentences against 18 labels,Australian Government response to the Joint Standing Committee on Migration Interim and Final reports: Australia's Skilled Migration Program [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5835
5836,2024-05-09,10,10,yes,yes,10,,Australian Government response to the Joint Standing Committee on Migration report: Efficacy of current regulation of Australian migration and education agents [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5836
5837,2024-05-09,7,6,yes,no,0,7 notes sentences against 6 labels,Australian Government response to the Joint Standing Committee on Migration report: Review processes associated with visa cancellations made on criminal grounds [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5837
5838,2024-05-09,24,14,yes,no,0,24 notes sentences against 14 labels,Australian Government response to the Joint Standing Committee on Migration Interim and Final reports: Working Holiday Maker Program [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5838
5839,2024-05-09,13,13,yes,yes,13,,Australian Government response to the Senate Select Committee on Strengthening Multiculturalism report: Ways of protecting and strengthening Australia’s multiculturalism and social inclusion [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5839
5840,2024-05-09,41,40,yes,no,0,41 notes sentences against 40 labels,Australian Government response to the Senate Select Committee on Temporary Migration report: Temporary Migration Final Report [April 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5840
5844,2024-05-09,3,1,yes,no,0,3 notes sentences against 1 labels,"Australian Government response to the Senate Finance and Public Administration Legislation Committee report: Public Governance, Performance and Accountability Amendment (Tax Transparency in Procurement and Grants) Bill 2019 [May 2024]",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5844
5845,2024-05-10,0,0,no,no,0,no recommendation labels in the text,Australian Government response to the Senate Education and Employment Legislation Committee report: Social Security Legislation Amendment (Streamlined Participation Requirements and Other Measures) Bill 2021 [Provisions],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5845
5846,2024-05-10,0,0,no,no,0,no recommendation labels in the text,Australian Government response to the Parliamentary Joint Committee on Human Rights report: ParentsNext: examination of Social Security (Parenting payment participation requirements – class of persons) Instrument 2021,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5846
5853,2024-05-10,19,20,yes,no,0,19 notes sentences against 20 labels,Australian Government response to the Joint Standing Committee on the National Capital and External Territories report: Telling Australia’s story – and why it’s important: Report on the inquiry into Canberra’s national institutions [May 2024],https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5853
5859,2024-05-10,11,11,yes,yes,11,,"Australian Government response to the Joint Standing Committee on Foreign Affairs, Defence and Trade Final Report Transition from the Australian Defence Force (ADF) [May 2024]",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5859
5893,2024-05-14,1,1,yes,no,0,"a single label, which a table layout can fake",Australian Government response to the Joint Standing Committee on Electoral Matters report: Advisory report on the Commonwealth Electoral Amendment (Real Time Disclosure of Political Donations) Bill 2019,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5893
5896,2024-05-14,1,1,yes,no,0,"a single label, which a table layout can fake",Australian Government response to the Joint Standing Committee on Electoral Matters report: Commonwealth Electoral Amendment (Lowering the Donation Disclosure Threshold) Bill 2019,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5896
5897,2024-05-14,1,1,yes,no,0,"a single label, which a table layout can fake",Australian Government response to the Joint Standing Committee on Electoral Matters report: Report on the Candidate Qualification Checklist,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5897
5898,2024-05-14,1,1,yes,no,0,"a single label, which a table layout can fake",Australian Government response to the Joint Standing Committee on Electoral Matters report: Advisory report on the Commonwealth Electoral Amendment (Ensuring Fair Representation of the Northern Territory) Bill 2020,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5898
5899,2024-05-14,1,1,yes,no,0,"a single label, which a table layout can fake",Australian Government response to the Joint Standing Committee on Electoral Matters report: Interim report on the inquiry into the conduct of the 2013 Federal Election: Senate voting practices,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5899
5901,2024-05-14,1,1,yes,no,0,"a single label, which a table layout can fake",Australian Government response to the Joint Standing Committee on Electoral Matters report: The 2013 Federal Election: Report on all aspects of the conduct of the 2013 election and matters related thereto,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5901
5902,2024-05-14,1,1,yes,no,0,"a single label, which a table layout can fake",Australian Government response to the Joint Standing Committee on Electoral Matters report: Third interim report on the inquiry into the conduct of the 2016 federal election: AEC modernisation,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5902
5903,2024-05-14,2,1,yes,no,0,2 notes sentences against 1 labels,Australian Government response to the Joint Standing Committee on Electoral Matters report: Excluded: The impact of section 44 on Australian democracy,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5903
5904,2024-05-14,1,2,no,no,0,labels do not run without gaps,Australian Government response to the Joint Standing Committee on Electoral Matters report: Report on the conduct of the 2016 federal election and matters related thereto,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5904
5905,2024-05-14,1,1,yes,no,0,"a single label, which a table layout can fake",Australian Government response to the Joint Standing Committee on Electoral Matters report: Report on the conduct of the 2019 federal election and matters related thereto,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5905
