source,source_id,label,recommended_by,state,verdict
response,164,1,,position,accepted
response,164,2,,position,in part or in principle
response,164,3,,position,accepted
response,164,4,,position,accepted
response,164,5,,position,accepted
response,164,6,,position,in part or in principle
response,164,7,,position,in part or in principle
response,164,8,,position,accepted
response,164,9,,position,accepted
response,170,2,,unreadable,
response,170,3,,unreadable,
response,406,2,,noted,
response,406,3,senator may,dissent,
response,771,2,,position,in part or in principle
response,771,3,,position,accepted
response,771,4,,position,accepted
response,771,5,,position,accepted
response,771,6,,unreadable,
response,772,2,,unreadable,
response,856,1,,noted,
response,856,2,,position,in part or in principle
response,856,4,,position,accepted
response,856,5,,position,in part or in principle
response,856,6,,position,accepted
response,856,7,,position,accepted
response,856,13,,unreadable,
response,856,17,Australian Greens,dissent,
response,856,18,,unreadable,
response,921,2,,position,in part or in principle
response,921,3,,noted,
response,921,4,,position,in part or in principle
response,921,5,,position,in part or in principle
response,921,7,,position,in part or in principle
response,921,8,,position,not accepted
response,921,9,,position,accepted
response,921,10,,position,in part or in principle
response,921,11,,position,accepted
response,921,12,,position,in part or in principle
response,921,13,,position,in part or in principle
response,921,14,,position,accepted
response,921,15,,position,in part or in principle
response,921,16,,position,in part or in principle
response,921,17,,position,in part or in principle
response,921,19,,position,in part or in principle
response,921,20,,position,accepted
response,921,21,,position,in part or in principle
response,921,22,,position,in part or in principle
response,921,23,,position,in part or in principle
response,921,24,,position,accepted
response,921,25,,position,in part or in principle
response,921,27,,position,in part or in principle
response,921,28,,position,in part or in principle
response,921,30,,position,in part or in principle
response,921,31,,position,in part or in principle
response,921,32,,position,in part or in principle
response,921,33,,position,in part or in principle
response,921,34,,position,in part or in principle
response,921,35,,position,in part or in principle
response,921,36,,position,in part or in principle
response,921,37,,unreadable,
response,921,39,,noted,
response,921,40,,position,in part or in principle
response,921,41,,position,accepted
response,921,42,,position,not accepted
response,921,44,,position,in part or in principle
response,921,45,,position,accepted
response,921,47,,position,in part or in principle
response,921,48,,position,in part or in principle
response,921,49,,noted,
