source,source_id,label,recommended_by,document_has_other_authors,recommendation,government_words,response_classification,committee,department,document_title,tabled,chamber,url
response,164,1,,,The Committee recommends that the Australian government support efforts to collect gender-disaggregated data on the prevalence of child and forced marriage globally,"The Government accepts this recommendation. The Government supports efforts to collect gender-disaggregated data on the prevalence of child and forced marriage globally and commends the organisations who work to quantify the prevalence of these hidden practices. Australia contributes unearmarked funds to the International Labour Organization (ILO), who in partnership with the International Organization of Migration (IOM) and Minderoo Foundation’s Walk Free initiative, produces the Global Estimates of Modern Slavery, a key source of data on the prevalence of forced marriage globally. Australia continues to support UN Women’s flagship gender data program Women Count (https://data.unwomen.org/women-count) to close data gaps on priority gender equality issues in the Indo-Pacific region, including on the impact of the COVID-19 pandemic on gender equality and the rights and empowerment of wome",substantive,"Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade report: Advocating for the elimination of child and forced marriage [April 2022]",2022-04-21,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/164
response,164,2,,,"The Committee recommends that the Australian Government improve the publication of data on the child and forced marriage rates within Australia, and in particular improve communication of this data to non- government organisations supporting individuals in, or at risk of, child and forced marriage","The Government accepts this recommendation in principle. Since 2007, the Australian Institute of Criminology’s (AIC) Human Trafficking and Modern Slavery Research Program has contributed to understanding of child and forced marriage in Australia through the dissemination of research. The AIC continues to build the evidence around the nature and prevalence of child and forced marriage in Australia and is undertaking scoping work to develop the Human Trafficking and Modern Slavery National Minimum Dataset (NMDS). Informed by the draft International Classification Standard for Administrative Data on Trafficking in Persons recently developed by the IOM in partnership with the UNODC, the proposed NMDS will provide unit- record level information about individuals suspected of experiencing and perpetrating HTMS-related offences in Australia on an ongoing basis. Key information proposed for incl",substantive,"Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade report: Advocating for the elimination of child and forced marriage [April 2022]",2022-04-21,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/164
response,164,3,,,The Committee recommends that the Australian Government include support for initiatives to eliminate child and forced marriage as part of Australia’s aid program,"The Government accepts this recommendation. Australia provides significant Official Development Assistance (ODA) funding to programs and activities to address forced marriage directly in high prevalence countries, as well as investments that address the broader drivers of these practices and reduce the vulnerability of potential victims. In particular, gender inequalities are a key driver of child and forced marriage, as it impacts girls’ education, women’s livelihoods, and women’s and girls’ health and wellbeing, legal rights and access to justice, being a form of violence against women and girls. Australia supports efforts to end violence against women and girls in all its forms through our development and humanitarian programs. In the Indo- Pacific region, our targeted assistance to address, prevent and respond to gender-based violence includes additional funding of $10 million to UN ",substantive,"Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade report: Advocating for the elimination of child and forced marriage [April 2022]",2022-04-21,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/164
response,164,4,,,"The Committee recommends that the Australian Government continues to support efforts to improve education outcomes for women and girls, particularly in regions with high rates of child and forced marriage","The Government accepts this recommendation. Improved access to education has been shown to increase the age at which girls marry. When they do marry, they are more likely to choose their partner and to marry closer in age. Girls with fewer than seven years’ schooling are more likely to be married by age 18. Educating girls improves labour market outcomes, reduces poverty, delays marriage, reduces mortality and fertility rates, and increases GDP. A child whose mother can read is 50 per cent more likely to live past the age of five, 50 per cent more likely to be immunised, and twice as likely to attend school. There is evidence that ensuring that all girls finish secondary education by 2030 could boost GDP by 10 per cent on average over the next decade. The DFAT 2020-21 budget outcome for education (including scholarships) is $530 million. Bilateral, regional and global education programs ",substantive,"Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade report: Advocating for the elimination of child and forced marriage [April 2022]",2022-04-21,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/164
response,164,5,,,The Committee recommends that the Australian Government continues to enhance its engagement with community and faith-based groups both in Australia and globally to hold dialogues and support work in shifting social norms in relation to child and forced marriage,"The Government accepts this recommendation. The Government’s National Action Plan to Combat Modern Slavery 2020– 25 (National Action Plan) recognises that modern slavery is a complex crime and government action is only part of the solution. Over the life of the National Action Plan, the Government will continue to prioritise collaboration with civil society, business, unions and academia, including community and faith-based groups. This includes the provision of grant funding to support the efforts of these groups to combat forced marriage in Australia. Human Trafficking Contact Officer Network The Australian Border Force (ABF) has dedicated Human Trafficking Contact Officers (HTCOs) who are onshore specialist officers located in all states and territories. HTCOs are responsible for the Department of Home Affairs’ and ABF’s operational responses to modern slavery (including forced marria",substantive,"Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade report: Advocating for the elimination of child and forced marriage [April 2022]",2022-04-21,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/164
response,164,6,,,"The Committee recommends that the Australian Government identify opportunities to improve communication channels with key civil society organisations, including leading a multi-stakeholder group of government and key civil society organisations to develop a repatriation protocol that enables prompt and streamlined assistance to Australians overseas that are in, or at risk of, child and forced marriage","The Government accepts this recommendation in principle. DFAT works closely with relevant NGOs and other whole-of-government partners to assist Australians who are victims of forced marriage overseas or are at risk of forced marriage. DFAT has well-established communication channels with Anti-Slavery Australia and other NGOs who provide support to victims or potential victims of child and forced marriage. DFAT’s Smartraveller website includes information on how these cases can be referred to consular officers, including in countries where Australia does not have an Embassy or Consulate. DFAT works closely with relevant NGOs and other whole-of-government partners to assist with the repatriation of vulnerable individuals on a case- by-case basis. The circumstances of each case vary greatly and require a tailored response and support. Repatriation to Australia is considered in cases where i",substantive,"Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade report: Advocating for the elimination of child and forced marriage [April 2022]",2022-04-21,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/164
response,164,7,,,The Committee recommends that the Australian Government continues and enhances funding to NGOs to counter child and forced marriage,"The Government accepts this recommendation in principle. Since 2008, the Government has awarded over $7.8 million to support civil society, business and academia to combat modern slavery in Australia, including through awareness-raising and education initiatives. The 2020-21 Budget included $10.6 million over five years to implement the National Action Plan, including $4.4 million in new grant funding. The ‘National Action Plan to Combat Modern Slavery 2020-25 Grant Program’ (Grant Program) funds civil society, business and industry groups and academia to deliver projects to combat modern slavery in Australia, including research to support evidence-based policy. The Grant Program is comprised of two multi-year grant funding opportunities: • Round One provides $1.67 million over a two-year period (2021/22– 2022/23), with $200,000 allocated to research. o reflecting priorities and actions ",substantive,"Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade report: Advocating for the elimination of child and forced marriage [April 2022]",2022-04-21,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/164
response,164,8,,,"The Committee recommends that the Australian Government maintains Australia’s commitment as a regional and international leader by conducting targeted and careful advocacy of efforts to prevent and combat human trafficking and slavery, including child and forced marriage","The Government accepts this recommendation. As reflected in Australia’s international engagement strategy on human trafficking and modern slavery: delivering in partnership, the Government advocates on child and forced marriage issues bilaterally and multilaterally, and will continue to do so, taking into account local context and seeking out governments in high-prevalence countries to encourage them to adopt relevant laws. This has included through co-sponsoring the biennial resolution in the UN General Assembly Third Committee (Human Rights) on early and forced marriage. It has also included support for the Human Rights Council (HRC) resolutions on: child, early, and forced marriage; child, early and forced marriage in times of crisis, including COVID-19; trafficking in persons, especially women and children Noting the prevalence of early and forced marriage in fragile and conflicted a",substantive,"Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade report: Advocating for the elimination of child and forced marriage [April 2022]",2022-04-21,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/164
response,164,9,,,The Committee recommends that the Australian Government continues and enhances its engagement in bilateral and multilateral dialogues to eliminate child and forced marriage,"The Government accepts this recommendation. As reflected in Australia’s international engagement strategy on human trafficking and modern slavery: delivering in partnership, Australia addresses forced marriage with international partners through bilateral, regional and multilateral engagement, development programming, humanitarian assistance and advocacy. Australia draws on our extensive diplomatic network to inform our policy approach, influence partner government policy and make strategic contributions both in bilateral and multilateral forums to end the practice of child and forced marriage. Agencies across the Australian Government contribute to the multilateral fora that address human trafficking and other forms of modern slavery, which include human rights bodies, such as the UN Human Rights Council and UN General Assembly Third Committee; and criminal justice-related bodies, such ",substantive,"Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade",,"Australian Government response to the Human Rights sub-committee of the Joint Standing Committee on Foreign Affairs, Defence and Trade report: Advocating for the elimination of child and forced marriage [April 2022]",2022-04-21,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/164
response,170,2,,,"The Government accepts this recommendation. The Committee recommends that Australian The Australian Government agrees that Government agencies continue to engage with engagement with the community is important to the Kurdish community in relation to the listing ensure there is an understanding of Australia’s of the Kurdistan Workers’ Party and provide counter-terrorism laws and the rights of advice on the conduct and communications individuals and organisations. As Government which would fall under the ambit of criminal agencies are unable to provide legal advice, conduct in the Criminal Code. individuals and organisations should seek independent legal advice in relation to their specific circumstances",,substantive,,,"Review of the re-listing of five organisations as terrorist organisations under the Criminal Code—Al-Shabaab, Lashkar-e-Tayyiba, Palestinian Islamic Jihad, Hamas' Izz al-Din al-Qassam Brigades and the Kurdistan Workers' Party (PKK)—Government response",2022-04-07,senate,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/170
