row,source,source_id,label,recommended_by,state,verdict
response-1102-2-,response,1102,2,,unreadable,
response-1102-3-,response,1102,3,,position,accepted
response-11238-1-,response,11238,1,,noted,
response-1143-1-,response,1143,1,,position,in part or in principle
response-11619-1-,response,11619,1,,position,accepted
response-11765-1-,response,11765,1,,position,accepted
response-12138-2-,response,12138,2,,position,accepted
response-12138-3-,response,12138,3,,position,not accepted
response-12138-4-,response,12138,4,,position,accepted
response-12138-5-,response,12138,5,,position,not accepted
response-12138-6-,response,12138,6,,noted,
response-12138-7-,response,12138,7,,noted,
response-12138-8-,response,12138,8,,noted,
response-12138-9-,response,12138,9,,position,accepted
response-12220-1-dissenting report,response,12220,1,dissenting report,dissent,
response-12354-1-,response,12354,1,,noted,
response-12376-1-,response,12376,1,,position,in part or in principle
response-12658-1-Labor members,response,12658,1,Labor members,dissent,
response-12727-1-,response,12727,1,,position,accepted
response-13153-1-additional comments,response,13153,1,additional comments,dissent,
response-13187-1.1-,response,13187,1.1,,position,in part or in principle
response-1324-1-,response,1324,1,,position,accepted
response-13252-1-,response,13252,1,,position,accepted
response-13782-1-,response,13782,1,,form letter,
response-13947-1-,response,13947,1,,form letter,
response-13990-1-,response,13990,1,,form letter,
response-13993-1-,response,13993,1,,form letter,
response-14151-1-,response,14151,1,,unreadable,
response-14151-10-,response,14151,10,,noted,
response-14151-11-,response,14151,11,,unreadable,
response-14151-12-,response,14151,12,,noted,
response-14151-13-,response,14151,13,,noted,
response-14151-14-,response,14151,14,,unreadable,
response-14151-15-,response,14151,15,,noted,
response-14151-16-,response,14151,16,,unreadable,
response-14151-17-,response,14151,17,,noted,
response-14151-2-,response,14151,2,,unreadable,
response-14151-3-,response,14151,3,,noted,
response-14151-4-,response,14151,4,,unreadable,
response-14151-5-,response,14151,5,,unreadable,
response-14151-6-,response,14151,6,,unreadable,
response-14151-7-,response,14151,7,,unreadable,
response-14151-8-,response,14151,8,,unreadable,
response-14151-9-,response,14151,9,,unreadable,
response-14164-1-,response,14164,1,,form letter,
response-14424-1-,response,14424,1,,position,in part or in principle
response-14707-1-,response,14707,1,,noted,
response-14956-1-,response,14956,1,,form letter,
response-14957-1-,response,14957,1,,form letter,
response-14958-1-,response,14958,1,,form letter,
response-14959-1-,response,14959,1,,form letter,
response-15044-1-Coalition Senators,response,15044,1,Coalition Senators,dissent,
response-15044-2-,response,15044,2,,position,not accepted
response-1509-1-,response,1509,1,,position,accepted
response-15314-1-,response,15314,1,,form letter,
response-15481-1-,response,15481,1,,form letter,
response-15482-1-,response,15482,1,,position,in part or in principle
response-15484-2-Coalition Senators,response,15484,2,Coalition Senators,dissent,
response-15607-1-Additional Comments,response,15607,1,Additional Comments,dissent,
response-15640-1-,response,15640,1,,noted,
response-15671-1-,response,15671,1,,position,in part or in principle
response-15672-1-,response,15672,1,,position,accepted
response-15673-1-,response,15673,1,,noted,
response-15837-1.13-Additional Comments,response,15837,1.13,Additional Comments,dissent,
response-15839-2-Coalition Senators,response,15839,2,Coalition Senators,dissent,
response-15843-1-,response,15843,1,,position,accepted
response-15844-1-,response,15844,1,,position,in part or in principle
response-15845-1-,response,15845,1,,noted,
response-15846-2-,response,15846,2,,noted,
response-15847-1-,response,15847,1,,position,accepted
response-15890-1-,response,15890,1,,position,accepted
response-15918-1-,response,15918,1,,unreadable,
response-15936-1-,response,15936,1,,position,accepted
response-16003-1-,response,16003,1,,position,accepted
response-16013-1-dissenting recommendation,response,16013,1,dissenting recommendation,dissent,
response-16019-1-,response,16019,1,,position,accepted
response-16030-1-,response,16030,1,,form letter,
response-16059-1-,response,16059,1,,unreadable,
response-16078-1-additional comments,response,16078,1,additional comments,dissent,
response-16085-1-,response,16085,1,,position,in part or in principle
response-16143-1-,response,16143,1,,position,accepted
response-16205-1-,response,16205,1,,noted,
response-16241-1-,response,16241,1,,position,accepted
response-16245-3-,response,16245,3,,form letter,
response-16309-24-Coalition members,response,16309,24,Coalition members,dissent,
response-16338-1-,response,16338,1,,position,accepted
response-16383-1-,response,16383,1,,unreadable,
response-16469-1-,response,16469,1,,position,accepted
response-16470-1-,response,16470,1,,unreadable,
response-16507-1-Additional Comments,response,16507,1,Additional Comments,dissent,
response-16516-1-Coalition Senators,response,16516,1,Coalition Senators,dissent,
response-16523-1-,response,16523,1,,noted,
response-16545-10-Senator Pocock,response,16545,10,Senator Pocock,dissent,
response-16545-13-Coalition Senators,response,16545,13,Coalition Senators,dissent,
response-16545-14-Coalition Senators,response,16545,14,Coalition Senators,dissent,
response-16545-7-Coalition Senators,response,16545,7,Coalition Senators,dissent,
response-16545-9-Senator Pocock,response,16545,9,Senator Pocock,dissent,
response-16547-1-,response,16547,1,,position,accepted
response-16572-1-,response,16572,1,,position,not accepted
response-16802-1-dissenting report,response,16802,1,dissenting report,dissent,
response-16804-1-Labor Senators,response,16804,1,Labor Senators,dissent,
response-16816-1-additional comments,response,16816,1,additional comments,dissent,
response-16842-2-dissenting report,response,16842,2,dissenting report,dissent,
response-16842-3-Senator David,response,16842,3,Senator David,dissent,
response-16842-4-Dissenting Report,response,16842,4,Dissenting Report,dissent,
response-16842-5-Senator David,response,16842,5,Senator David,dissent,
response-16969-1-,response,16969,1,,position,in part or in principle
response-16970-1-,response,16970,1,,noted,
response-16970-2-,response,16970,2,,position,not accepted
response-16970-6-,response,16970,6,,noted,
response-170-1-,response,170,1,,unreadable,
response-17020-1-,response,17020,1,,position,accepted
response-17097-1-,response,17097,1,,position,accepted
response-17098-1-,response,17098,1,,position,accepted
response-17099-1-,response,17099,1,,noted,
response-17143-1-Senator Lambie,response,17143,1,Senator Lambie,dissent,
response-1717-1-,response,1717,1,,position,accepted
response-17294-1-,response,17294,1,,position,accepted
response-17307-1-Australian Greens Senators,response,17307,1,Australian Greens Senators,dissent,
response-17400-1-,response,17400,1,,position,in part or in principle
response-17400-12-,response,17400,12,,position,in part or in principle
response-17400-16-,response,17400,16,,position,in part or in principle
response-17400-2-,response,17400,2,,position,in part or in principle
response-17400-20-,response,17400,20,,position,in part or in principle
response-17400-27-,response,17400,27,,position,in part or in principle
response-17400-7-,response,17400,7,,position,in part or in principle
response-17576-1-,response,17576,1,,position,accepted
response-17576-5-,response,17576,5,,unreadable,
response-17579-1-,response,17579,1,,noted,
response-17579-3-,response,17579,3,,noted,
response-17624-1-,response,17624,1,,unreadable,
response-17689-1-,response,17689,1,,unreadable,
response-17691-1-,response,17691,1,,position,in part or in principle
response-17737-1-,response,17737,1,,position,in part or in principle
response-244-1-,response,244,1,,position,accepted
response-2493-1-Liberal Members,response,2493,1,Liberal Members,dissent,
response-2839-1-,response,2839,1,,position,accepted
response-2845-1-Coalition Senators,response,2845,1,Coalition Senators,dissent,
response-3049-1-,response,3049,1,,position,accepted
response-3383-1-,response,3383,1,,position,in part or in principle
response-3396-1-,response,3396,1,,noted,
response-3968-1-,response,3968,1,,noted,
response-405-1-,response,405,1,,noted,
response-406-1-,response,406,1,,noted,
response-4165-1-,response,4165,1,,noted,
response-4166-1-,response,4166,1,,position,accepted
response-4167-3-,response,4167,3,,noted,
response-4250-1-,response,4250,1,,position,accepted
response-4372-1-,response,4372,1,,position,accepted
response-4693-1-Dissenting report,response,4693,1,Dissenting report,dissent,
response-5023-1-,response,5023,1,,position,accepted
response-5110-1-Senator David,response,5110,1,Senator David,dissent,
response-5110-10-Dissenting Report,response,5110,10,Dissenting Report,dissent,
response-5110-11-Dissenting Report,response,5110,11,Dissenting Report,dissent,
response-5110-12-Dissenting Report,response,5110,12,Dissenting Report,dissent,
response-5110-14-Senator Lidia,response,5110,14,Senator Lidia,dissent,
response-5110-2-Senator Lidia,response,5110,2,Senator Lidia,dissent,
response-5110-4-Senator David,response,5110,4,Senator David,dissent,
response-5110-6-Dissenting Report,response,5110,6,Dissenting Report,dissent,
response-5110-9-Senator Lidia,response,5110,9,Senator Lidia,dissent,
response-5198-1-,response,5198,1,,noted,
response-5297-1-,response,5297,1,,position,accepted
response-5631-15-Australian Greens Senators,response,5631,15,Australian Greens Senators,dissent,
response-5692-1-,response,5692,1,,position,accepted
response-5748-1-,response,5748,1,,form letter,
response-5750-1-,response,5750,1,,form letter,
response-5751-1-,response,5751,1,,form letter,
response-5753-1-,response,5753,1,,form letter,
response-5755-1-,response,5755,1,,form letter,
response-5759-1-,response,5759,1,,form letter,
response-5812-1-,response,5812,1,,form letter,
response-5813-1-,response,5813,1,,form letter,
response-5814-1-,response,5814,1,,form letter,
response-5815-1-,response,5815,1,,form letter,
response-5818-1-Australian Greens,response,5818,1,Australian Greens,dissent,
response-5821-1-Australian Greens,response,5821,1,Australian Greens,dissent,
response-5829-1-,response,5829,1,,form letter,
response-5830-1-,response,5830,1,,form letter,
response-5831-1-,response,5831,1,,form letter,
response-5833-1-,response,5833,1,,form letter,
response-5834-1-,response,5834,1,,form letter,
response-5835-1-,response,5835,1,,form letter,
response-5836-1-,response,5836,1,,form letter,
response-5837-1-,response,5837,1,,form letter,
response-5838-1-,response,5838,1,,form letter,
response-5839-1-,response,5839,1,,form letter,
response-5840-1-,response,5840,1,,form letter,
response-5844-1-,response,5844,1,,form letter,
response-5913-1-,response,5913,1,,position,accepted
response-5916-1-,response,5916,1,,position,accepted
response-5917-1-,response,5917,1,,form letter,
response-5918-1-,response,5918,1,,form letter,
response-5919-1-,response,5919,1,,unreadable,
response-5921-1-,response,5921,1,,form letter,
response-5922-1-,response,5922,1,,form letter,
response-5923-1-,response,5923,1,,form letter,
response-5928-10-,response,5928,10,,position,not accepted
response-5928-13-,response,5928,13,,position,in part or in principle
response-5928-16-,response,5928,16,,noted,
response-5928-19-,response,5928,19,,noted,
response-5928-22-,response,5928,22,,noted,
response-5928-25-,response,5928,25,,noted,
response-5928-8-,response,5928,8,,noted,
response-5933-1-Labor Senators,response,5933,1,Labor Senators,dissent,
response-5935-1-Australian Greens Senators,response,5935,1,Australian Greens Senators,dissent,
response-5994-1-,response,5994,1,,form letter,
response-6020-1-Dissenting Report,response,6020,1,Dissenting Report,dissent,
response-6068-1-,response,6068,1,,form letter,
response-6069-1-,response,6069,1,,form letter,
response-6070-1-,response,6070,1,,form letter,
