key,chamber,also_on,report_tabled,days_outstanding,committee,title,report_page_url,pdf_source_url,collected,notes,pdf_direct_url
m-2014-11-25-freedom-of-information-amendment-new-arr,senate,,2014-11-25,4299,Legal and Constitutional Affairs Legislation,Freedom of Information Amendment (New Arrangements) Bill 2014 [Provisions],https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Legal_and_Constitutional_Affairs/FIO_Amendment_Bill/Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Legal_and_Constitutional_Affairs/FIO_Amendment_Bill/Report,yes,"downloaded from report.pdf, 42 pages, title match 1.15",
m-2017-02-16-report-460public-sector-governance-inqui,senate,,2017-02-16,3485,Public Accounts and Audit—Joint Statutory,Report 460—Public Sector Governance Inquiry based on Auditor- General’s report 29 (2015-16),https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/PublicSectorGovernance/Report,https://static.aph.gov.au/-/media/02_Parliamentary_Business/24_Committees/244_Joint_Committees/JCPAA/Report460/,yes,,
m-2017-03-21-freedom-of-speech-in-australia,senate,,2017-03-21,3452,Human Rights—Joint Statutory,Freedom of speech in Australia,,https://www.aph.gov.au/-/media/Committees/humanrights_ctte/FreedomspeechAustralia/report.pdf,yes,"downloaded from report.pdf, 189 pages, title match 1.15",https://www.aph.gov.au/-/media/Committees/humanrights_ctte/FreedomspeechAustralia/report.pdf
m-2017-09-05-report-463commonwealth-financial-stateme,senate,,2017-09-05,3284,Public Accounts and Audit—Joint Statutory,Report 463—Commonwealth Financial Statements—Inquiry based on Auditor-General’s report No. 33,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/CommFinancialStatements/Report_463,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/CommFinancialStatements/Report_463,yes,"downloaded from Report463CommonwealthFinancialStatements.pdf;fileType=application%2Fpdf, 67 pages, title match 1.50",
m-2018-10-17-report-472commonwealth-procurement-secon,senate,,2018-10-17,2877,Public Accounts and Audit—Joint Statutory,"Report 472—Commonwealth Procurement – Second report: Inquiry based on Auditor-General’s reports 9 and 12 (2017-18) and 61 (2016-17), dated October 2018",https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/CommonwealthProcurement/Report_472,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/CommonwealthProcurement/Report_472,yes,"downloaded from Report472CommonwealthProcurement%e2%80%94SecondReport.pdf;fileType=application%2Fpdf, 130 pages, title match 1.63",
m-2018-11-30-freedom-of-information-legislation-amend,senate,,2018-11-30,2833,Legal and Constitutional Affairs Legislation,Freedom of Information Legislation Amendment (Improving Access and Transparency) Bill 2018,https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Legal_and_Constitutional_Affairs/FreedomofInformation/Report,https://www.aph.gov.au/Parliamentary_Business/Committees/Senate/Legal_and_Constitutional_Affairs/FreedomofInformation/Report,yes,"downloaded from report.pdf, 54 pages, title match 1.15",
m-2019-04-02-report-477commonwealth-financial-stateme,senate,,2019-04-02,2710,Public Accounts and Audit—Joint Statutory,Report 477—Commonwealth financial statements – Second report; and Foreign investment in real estate: Inquiries based on Auditor-General’s reports 24 and 48 (2017-18),https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/FinancialStatements17-18/Report_477,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/FinancialStatements17-18/Report_477,yes,"downloaded from Report477CommonwealthFinancialStatements-SecondReport,andForeignInvestmentinRealEstate.pdf;fileType=application%2Fpdf, 91 pages, title match 1.75",
m-2019-04-02-report-478issuing-of-a-certificate-under,senate,,2019-04-02,2710,Public Accounts and Audit—Joint Statutory,Report 478—Issuing of a Certificate under section 37 of the Auditor- Generalʼs Act 1997,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/AuditReportNo6/Report_478,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/AuditReportNo6/Report_478,yes,"downloaded from Report478IssuingofaCertificateundersection37oftheAuditor-GeneralAct1997.pdf;fileType=application%2Fpdf, 40 pages, title match 1.61",
m-2019-04-02-report-479australian-government-security,senate,,2019-04-02,2710,Public Accounts and Audit—Joint Statutory,Report 479—Australian Government security arrangements: Inquiry based on Auditor-General’s reports 38 and 43 (2017-18),https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/PersonnelSecurity/Report_479,https://www.aph.gov.au/Parliamentary_Business/Committees/Joint/Public_Accounts_and_Audit/PersonnelSecurity/Report_479,yes,"downloaded from Report479AustralianGovernmentSecurityArrangements.pdf;fileType=application%2Fpdf, 67 pages, title match 1.61",
m-2019-09-10-2nd-report-of-2019referrals-made-july-20,senate,,2019-09-10,2549,Public works—Joint Standing,2nd report of 2019—Referrals made July 2019,,,,,
