era,committee,inquiry,report_first_tabled,report_last_tabled,response_tabled,days_to_respond,days_from_first_report,deadline_days,days_overdue,interim_only,source,notes
classic,Community Affairs References Committee,Access to medical records,,,2000-11-30,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,Community Affairs References Committee,Rocking the cradle: A report into childbirth procedures,,,2000-08-31,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,Corporations and Securities-Joint Statutory Committee,Mandatory bid rule,,,2000-11-09,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,Corporations and Securities-Joint Statutory Committee,Report on matters arising from the Company Law Review Act 1998,,,2000-12-15,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,Economics References Committee,A new nuclear reactor at Lucas Heights,,,2000-04-06,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,"Environment, Communications, Information Technology and the Arts Legislation Committee",Australian content standard for television and paragraph 160(d) of the Broadcasting Services Act 1992,,,2000-04-13,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,"Environment, Communications, Information Technology and the Arts References Committee",ABC on-line: Interim report,,,2000-08-14,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,"Environment, Communications, Information Technology and the Arts References Committee","Access to heritage: User charges in museums, art galleries and national parks",,,2000-06-08,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,"Environment, Communications, Information Technology and the Arts References Committee",Jabiluka: The undermining of process-Inquiry into the Jabiluka mine uranium project,,,2000-10-12,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,Finance and Public Administration Legislation Committee,Format of the portfolio budget statements: Second report,,,2000-04-06,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,"Foreign Affairs, Defence and Trade—Joint Standing Committee",Bougainville: The peace process and beyond,,,2000-11-02,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,"Foreign Affairs, Defence and Trade—Joint Standing Committee","Defence Sub-committee: Visit to Defence establishments in northern Australia, 26 to 29 July 1999",,,2000-10-05,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,"Foreign Affairs, Defence and Trade—Joint Standing Committee","Defence sub-committee visit to Sydney Harbour foreshores defence properties, 14 November 1997",,,2000-03-13,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
classic,"Foreign Affairs, Defence and Trade—Joint Standing Committee",Loss of the HMAS Sydney,,,2000-06-29,,,90,,False,https://www.aph.gov.au/Parliamentary_Business/Statistics/Senate_StatsNet_Classic/documents/governmentresponses/2000,report date not recorded in register; 
