id,reason,note,title
106,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 7 of 2022—Government response
107,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 8 of 2022—Government response
108,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 9 of 2022—Government response
109,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 17 of 2022—Government response
110,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 18 of 2022—Government response
111,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 19 of 2022—Government response
178,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 10 of 2022—Government response
179,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 11 of 2022—Government response
180,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 12 of 2022—Government response
181,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 13 of 2022—Government response
182,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 14 of 2022—Government response
183,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 15 of 2022—Government response
184,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 16 of 2022—Government response
217,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 20 of 2022—Government response
218,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 21 of 2022—Government response
219,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 22 of 2022—Government response
220,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 24 of 2022—Government response
221,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 25 of 2022—Government response
349,royal_commission,"Responds to a royal commission, not a parliamentary committee","Australian Government response to the interim report of the Royal Commission into Defence and Veteran Suicide, September 2022"
971,independent_review,"Responds to a statutory independent review or monitor, not a parliamentary committee","Independent National Security Legislation Monitor—Review into the operation of Part 3, Division 1 of the National Security Information (Criminal and Civil Proceedings) Act 2004 as it applies in the Alan Johns matter—Government response"
5055,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no.2 of 2024—Government response
5057,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 3 of 2024—Government response
5091,independent_review,"Responds to a statutory independent review or monitor, not a parliamentary committee",Fuel Quality Standards Act 2000 Independent Review - 5 May 2023 [Australian Government Response]
5095,independent_review,"Responds to a statutory independent review or monitor, not a parliamentary committee",Petroleum and Other Fuels Reporting Act 2017 Independent Review - 5 May 2023 [Australian Government Response]
6206,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report no. 6 of 2024—Government response
6290,s486O_ombudsman,"Migration Act s486O statement answering the Commonwealth Ombudsman, not a committee",Migration Act 1958—Section 486O: Assessment of detention arrangements—Commonwealth Ombudsman’s report No. 7 of 2024—Government response
6874,royal_commission,"Responds to a royal commission, not a parliamentary committee",Australian Government Response to the Disability Royal Commission
8491,status_schedule,"A list of outstanding responses, not a response",Status of government responses in the House of Representatives to parliamentary committee reports as at 30 September 2024
9358,status_schedule,"A list of outstanding responses, not a response",Status of government responses in the Senate to parliamentary committee reports as at 30 September 2024
12522,status_schedule,"A list of outstanding responses, not a response",Status of government responses in the House of Representatives to parliamentary committee reports as at 30 September 2023
12523,status_schedule,"A list of outstanding responses, not a response",Status of government responses in the House of Representatives to parliamentary committee reports as at 30 September 2022
12524,status_schedule,"A list of outstanding responses, not a response",Status of government responses in the House of Representatives to parliamentary committee reports as at 31 March 2023
14015,status_schedule,"A list of outstanding responses, not a response",Status of government responses in the House of Representatives to parliamentary committee reports as at 21 November 2025
17490,independent_review,"Responds to a statutory independent review or monitor, not a parliamentary committee",Government response to the Independent National Security Legislation Monitor report: Review into Division 105A (and related provisions) of the Criminal Code Act 1995 (Cth)
17513,independent_review,"Responds to a statutory independent review or monitor, not a parliamentary committee",Australian Government Response to the Independent Review HELP Debt Reduction Program Report
