as_at,report_tabled,committee,title,status,being_considered,answered
2022-06-30,2002-10-23,A Certain Maritime Incident—Senate Select,Report on a Certain Maritime Incident,Interim*,True,False
2022-06-30,2021-03-18,Administration of Sports Grants—Senate Select,Final report Australia as a Technology and Financial Centre—Senate Select (formerly known as Financial Technology and Regulatory Technology),Interim*,True,False
2022-06-30,2020-09-02,Administration of Sports Grants—Senate Select,Interim report,Interim*,True,False
2022-06-30,2021-04-28,Administration of Sports Grants—Senate Select,Second interim report,Interim*,True,False
2022-06-30,2021-10-20,Administration of Sports Grants—Senate Select,Final report,25.1.22,False,True
2022-06-30,2022-03-25,Australia Fund Establishment—Joint Select Australia’s Family Law System—Senate Select Australian Commission for Law Enforcement Integrity—Joint Statutory Autism—Senate Select,"Services, support and life outcomes for autistic Australians",-,False,False
2022-06-30,2015-03-27,Certain Aspects of Queensland Government Administration related to Commonwealth Government Affairs—Senate Select,Report,Interim*,True,False
2022-06-30,2018-10-12,Community Affairs Legislation,Social Security Legislation Amendment (Community Development Program) Bill 2018,20.01.22,False,True
2022-06-30,2021-11-16,Community Affairs Legislation,Aged Care and Other Legislation Amendment (Royal Commission Response No. 2) Bill 2021 [Provisions],-,False,False
2022-06-30,2021-11-23,Community Affairs Legislation,Centrelink’s compliance program—Fifth interim report,-,False,False
2022-06-30,2012-08-22,Community Affairs References,The factors affecting the supply of health services and medical professionals in rural areas,Interim*,True,False
2022-06-30,2013-03-20,Community Affairs References,Australia’s domestic response to the World Health Organization’s WHO Commission on Social Determinants of Health report “Closing the gap within a generation,Interim*,True,False
2022-06-30,2014-08-22,Community Affairs References,Out-of-pocket costs in Australian healthcare,Interim*,True,False
2022-06-30,2016-11-29,Community Affairs References,Indefinite detention of people with cognitive and psychiatric impairment in Australia,Interim*,True,False
2022-06-30,2020-04-30,Community Affairs References,Adequacy of Newstart and related payments and alternative mechanisms to determine the level of income support payments in Australia,Interim*,True,False
2022-06-30,2021-03-17,Community Affairs References,"Effective approaches to prevention, diagnosis and support for Fetal Alcohol Spectrum Disorder",Interim*,True,False
2022-06-30,2022-02-18,Community Affairs References,"Purpose, intent and adequacy of the Disability Support Pension",-,False,False
2022-06-30,2022-04-01,Community Affairs References,Administration of registration and notifications by the Australian Health Practitioner Regulation Agency and related entities under the Health Practitioner Regulation National Law,-,False,False
2022-06-30,2022-04-01,Community Affairs References,"Provision of general practitioner and related primary health services to outer metropolitan, rural, and regional Australians—Interim report",-,False,False
2022-06-30,2022-05-13,Community Affairs References,Accountability and justice: Why we need a Royal Commission into Robodebt,-,False,False
2022-06-30,2018-11-29,Constitutional Recognition of Aboriginal and Torres Strait Islander Peoples—Joint Select Constitutional Recognition of Aboriginal and Torres Strait Islander Peoples 2018—Joint Select,Final Report Final Report 29.11.18 HoR,Interim*,True,False
2022-06-30,2020-12-09,Corporations and Financial Services–Joint Statutory COVID-19—Senate Select,First interim report,Interim*,True,False
2022-06-30,2021-12-01,Corporations and Financial Services–Joint Statutory COVID-19—Senate Select,Public interest immunity claims—Third interim report,-,False,False
2022-06-30,2022-04-07,Corporations and Financial Services–Joint Statutory COVID-19—Senate Select,Final report,-,False,False
2022-06-30,2010-11-17,Economics Legislation,Annual reports No. 2 of 2010,Interim*,True,False
2022-06-30,2017-02-14,Economics Legislation,Superannuation (Objective) Bill 2016 [Provisions],Interim*,True,False
2022-06-30,2018-03-23,Economics Legislation,Treasury Laws Amendment (Reducing Pressure on Housing Affordability Measures No. 2) Bill 2018 [Provisions] and Foreign Acquisitions and Takeovers Fees Imposition Amendment (Near- new Dwelling Interests) Bill 2018 [Provisions],Interim*,True,False
2022-06-30,2018-06-05,Economics Legislation,National Consumer Credit Protection Amendment (Mandatory Comprehensive Credit Reporting) Bill 2018 [Provisions]—Report,Interim*,True,False
2022-06-30,2020-02-21,Economics Legislation,Australian Business Growth Fund Bill 2019 [Provisions],Interim*,True,False
2022-06-30,2020-02-28,Economics Legislation,Currency (Restrictions on the Use of Cash) Bill 2019 [Provisions],Interim*,True,False
2022-06-30,2020-06-17,Economics Legislation,Performance of the Inspector-General of Taxation,Interim*,True,False
2022-06-30,2020-09-14,Economics Legislation,"National Radioactive Waste Management Amendment (Site Specification, Community Fund and Other Measures) Bill 2020 [Provisions]",Interim*,True,False
2022-06-30,2020-09-21,Economics Legislation,National Consumer Credit Protection Amendment (Small Amount Credit Contract and Consumer Lease Reforms) Bill 2019 (No. 2),Interim*,True,False
2022-06-30,2020-10-12,Economics Legislation,Treasury Laws Amendment (Research and Development Tax Incentive) Bill 2019 [Provisions],Interim*,True,False
2022-06-30,2020-11-04,Economics Legislation,Treasury Laws Amendment (Self Managed Superannuation Funds) Bill 2020,Interim*,True,False
2022-06-30,2020-11-26,Economics Legislation,Foreign Investment Reform (Protecting Australia’s National Security) Bill 2020 [Provisions] and Foreign Acquisitions and Takeovers Fees Imposition Amendment Bill 2020 [Provisions],Interim*,True,False
2022-06-30,2021-02-12,Economics Legislation,Treasury Laws Amendment (News Media and Digital Platforms Mandatory Bargaining Code) Bill 2020,Interim*,True,False
2022-06-30,2021-05-07,Economics Legislation,COAG Reform Fund Amendment (No Electric Vehicle Taxes) Bill 2020,Interim*,True,False
2022-06-30,2021-06-30,Economics Legislation,Offshore Petroleum and Greenhouse Gas Storage Amendment (Benefit to Australia) Bill 2020,Interim*,True,False
2022-06-30,2021-07-30,Economics Legislation,Financial Sector Reform (Hayne Royal Commission Response—Better Advice) Bill 2021,16.2.22,False,True
2022-06-30,2021-11-18,Economics Legislation,Corporations Amendment (Meetings and Documents) Bill 2021 [Provisions],-,False,False
2022-06-30,2021-11-18,Economics Legislation,Offshore Petroleum (Laminaria and Corallina Decommissioning Cost Recovery Levy) Bill 2021 [Provisions] and Treasury Laws Amendment (Laminaria and Corallina Decommissioning Cost Recovery Levy) Bill 2021[Provisions],-,False,False
2022-06-30,2022-02-03,Economics Legislation,Corporations Amendment (Improving Outcomes for Litigation Funding Participants) Bill 2021,-,False,False
