id,stated_recommendations,distinct_rec_numbers,gap,classification,chars,tabled,department,title,url
14887,55,7,48,substantive,18764,2026-02-05,"Department of Agriculture, Fisheries and Forestry",Government Response to Illegal Logging Prohibition Amendment (Strengthening Measures to Prevent Illegal Timber Trade) Bill 2024 [Provisions]),https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/14887
6050,38,0,38,proforma_closure,1888,2024-05-16,Department of Education,Australian Government Response - Inquiry into innovation and creativity: workforce for the new economy,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6050
12530,38,4,34,substantive,42773,2022-12-01,,"Australian Government response to the House of Representatives Standing Committee on Industry, Innovation, Science and Resources report—The Now Frontier: Developing Australia's space industry [December 2022]",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/12530
15913,33,0,33,substantive,8780,2026-04-02,Attorney-General's Department,Government response to the Senate Legal and Constitutional Affairs Legislation Committee's report on the Whistleblower Protection Authority Bill 2025,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15913
15912,33,0,33,substantive,8685,2026-04-02,Attorney-General's Department,Government response to the Public Interest Disclosure Amendment Review Bill 2022,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15912
16308,31,0,31,substantive,22566,2026-05-12,Department of Social Services,"Australian Government response to the House of Representatives Standing Committee on Social Policy and Legal Affairs report: 'You win some, you lose more': Online gambling and its impacts on those experiencing gambling harm",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16308
7557,27,0,27,proforma_closure,15554,2024-10-03,Department of Social Services,Australian Government response to the Senate Community Affairs References Committee for the Inquiry into the Adequacy of Newstart and related payments and alternative mechanisms to determine the level of income support payments in Australia,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/7557
9189,28,3,25,substantive,4570,2025-02-04,"Department of Agriculture, Fisheries and Forestry",Australian Government response to the  House of Representatives Standing Committee on Agriculture advisory report: Inquiry into the Export Control Amendment (Ending Live Sheep Exports by Sea) Bill 2024,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/9189
12298,41,20,21,substantive,108728,2025-08-28,Department of Health and Aged Care,"Australian Government Response to the Senate Inquiry into Equitable access to diagnosis and treatment for individuals with rare and less common cancers, including neuroendocrine cancer",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/12298
7543,18,0,18,proforma_closure,12557,2024-10-03,Department of Social Services,"Australian Government Response to the Community Affairs References Committee report - Inquiry into the purpose, intent and adequacy of the Disability Support Pension",https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/7543
5928,43,26,17,substantive,72960,2024-05-14,,Australian Government response to the Senate Standing Committee on Community Affairs: The worsening rental crisis in Australia – Interim and Final Reports,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/5928
878,16,1,15,substantive,3789,2022-11-28,,Australian Government response to the Joint Committee of Public Accounts and Audit 492: Governance in the Stewardship of Public Resources – Recommendation 12,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/878
