id,why_selected,tabled,department,title,stated_auto,seen_auto,VERIFIED_recommendations,VERIFIED_addressed,government_points_to,url
6050,"38 recommendations, form-letter closure",16/05/2024,Department of Education,Australian Government Response - Inquiry into innovation and creativity: workforce for the new economy,38,0,38,0,,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6050
15913,"same day, same department as 15912",2/04/2026,Attorney-General's Department,Government response to the Senate Legal and Constitutional Affairs Legislation Committee's report on the Whistleblower Protection Authority Bill 2025,33,0,8,8 - same report as 15912?,,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15913
15912,whistleblower protections,2/04/2026,Attorney-General's Department,Government response to the Public Interest Disclosure Amendment Review Bill 2022,33,0,8,8 - same report as 159132?,,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15912
16308,"anchor - online gambling, Peta Murphy inquiry",12/05/2026,Department of Social Services,"Australian Government response to the House of Representatives Standing Committee on Social Policy and Legal Affairs report: 'You win some, you lose more': Online gambling and its impacts on those experiencing gambling harm",31,0,31,?,,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/16308
7557,"27 recommendations, form-letter closure",3/10/2024,Department of Social Services,Australian Government response to the Senate Community Affairs References Committee for the Inquiry into the Adequacy of Newstart and related payments and alternative mechanisms to determine the level of income support payments in Australia,27,0,27,0,,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/7557
9189,agriculture,4/02/2025,"Department of Agriculture, Fisheries and Forestry",Australian Government response to the  House of Representatives Standing Committee on Agriculture advisory report: Inquiry into the Export Control Amendment (Ending Live Sheep Exports by Sea) Bill 2024,28,3,28,3,,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/9189
12298,"health - half addressed, shows the middle ground",28/08/2025,Department of Health and Aged Care,"Australian Government Response to the Senate Inquiry into Equitable access to diagnosis and treatment for individuals with rare and less common cancers, including neuroendocrine cancer",41,20,41,"16 supported, 15 supported in principle",,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/12298
7543,same day as 7557,3/10/2024,Department of Social Services,"Australian Government Response to the Community Affairs References Committee report - Inquiry into the purpose, intent and adequacy of the Disability Support Pension",18,0,30,0,,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/7543
6054,same day as 6050,16/05/2024,Department of Education,Australian Government Response - Inquiry into Funding Australia's Research,15,0,15,0,,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6054
8727,health,12/12/2024,Department of Health and Aged Care,AUSTRALIAN GOVERNMENT RESPONSE TO THE SENATE COMMUNITY AFFAIRS REFERENCES COMMITTEE REPORT: ASSESSMENT AND SUPPORT SERVICES FOR PEOPLE WITH ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD),15,2,15,"1 supported, 9 supported in principle",,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/8727
15891,AI - topical and recognisable,1/04/2026,"Department of Industry, Science and Resources",Australian Government response to the Senate Select Committee on Adopting Artificial Intelligence (AI) report: Final Report and Interim Report,13,1,?,?,,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15891
6540,CONTRAST - every recommendation addressed,27/06/2024,,Australian Government response to the Senate Select Committee on Work and Care Reports: Final Report (9 March 2023) Interim Report (18 October 2022) [June 2024],33,33,33,"4 agreed, 9 agreed in part, 4 agreed in principle, the rest noted",,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/6540
15205,"CONTRAST - NDIS, all addressed",4/03/2026,Department of Social Services,Australian Government response to the Joint Standing Committee on Implementation of the National Redress Scheme inquiry into the operation of the National Redress Scheme Report - Redress: Journey to Justice - November 2024,29,29,29,"Agrees to 14 recommendations, Agrees in part to one recommendation,  Agrees in principle to five recommendations, disagrees with two",,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/15205
12658,"CONTRAST - social media, all addressed",30/03/2023,,Australian Government response to the House of Representatives Select Committee on Social Media and Online Safety report—Social Media and Online Safety,26,26,26,"hard to say, lots of text addressing some but all over the place",,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/12658
17294,"CONTRAST - Secure Jobs Better Pay, all addressed",16/07/2026,Department of Employment and Workplace Relations,"Australian Government response to the final report of the Secure Jobs, Better Pay Review",21,21,21,"Five recommendations are for minor or technical amendments to the
Fair Work Act.
Nine recommendations are for other government action, mainly in the form of, further consultation, consideration and/or monitoring by the relevant department, The remaining 7 recommendations are directed to other bodies, including the FWC, FWO, National Construction Industry Forum (NCIF) and other stakeholders",,https://www.aph.gov.au/Parliamentary_Business/Tabled_Documents/17294
