row,source,source_id,label,state,verdict,stratum,checked,note
response-5928-11-,response,5928,11,position,in part or in principle,position,,
response-1509-2-,response,1509,2,position,accepted,position,,
response-12106-13-,response,12106,13,position,in part or in principle,position,,
response-5198-5-,response,5198,5,position,in part or in principle,position,,
response-17576-2-,response,17576,2,position,accepted,position,,
response-16970-5-,response,16970,5,position,in part or in principle,position,,
response-17400-5-,response,17400,5,position,in part or in principle,position,,
response-15848-8-,response,15848,8,position,in part or in principle,position,,
response-9325-4-,response,9325,4,position,in part or in principle,position,,
response-3383-23-,response,3383,23,position,in part or in principle,position,,
response-17516-18-,response,17516,18,position,accepted,position,,
response-921-54-,response,921,54,position,in part or in principle,position,,
response-16003-2-,response,16003,2,position,accepted,position,,
response-16547-7-,response,16547,7,position,not accepted,position,,
response-164-5-,response,164,5,position,accepted,position,,
response-16969-7-,response,16969,7,position,in part or in principle,position,,
response-12528-10-,response,12528,10,position,in part or in principle,position,,
response-9326-35-,response,9326,35,position,accepted,position,,
response-3427-10-,response,3427,10,position,accepted,position,,
response-13649-7-,response,13649,7,position,in part or in principle,position,,
response-921-60-,response,921,60,position,in part or in principle,position,,
response-921-34-,response,921,34,position,in part or in principle,position,,
response-921-45-,response,921,45,position,accepted,position,,
response-921-2-,response,921,2,position,in part or in principle,position,,
response-15848-12-,response,15848,12,position,in part or in principle,position,,
response-9326-3-,response,9326,3,position,in part or in principle,position,,
response-16386-19-,response,16386,19,position,in part or in principle,position,,
response-921-55-,response,921,55,position,accepted,position,,
response-9326-14-,response,9326,14,position,accepted,position,,
response-16602-2-,response,16602,2,position,in part or in principle,position,,
response-17579-2-,response,17579,2,position,accepted,position,,
response-9473-7-,response,9473,7,position,accepted,position,,
response-15449-10-,response,15449,10,position,accepted,position,,
response-9473-2-,response,9473,2,position,accepted,position,,
response-9326-8-,response,9326,8,position,in part or in principle,position,,
response-17142-3-,response,17142,3,position,accepted,position,,
response-12659-32-,response,12659,32,position,in part or in principle,position,,
response-921-33-,response,921,33,position,in part or in principle,position,,
response-16384-2-,response,16384,2,position,accepted,position,,
response-3427-5-,response,3427,5,position,accepted,position,,
response-8557-4-,response,8557,4,position,accepted,position,,
response-12659-49-,response,12659,49,position,accepted,position,,
response-5297-3-,response,5297,3,position,not accepted,position,,
response-15205-28-,response,15205,28,position,accepted,position,,
response-17737-12-,response,17737,12,position,accepted,position,,
response-8583-31-,response,8583,31,position,accepted,position,,
response-12659-69-,response,12659,69,position,in part or in principle,position,,
response-12659-16-,response,12659,16,position,in part or in principle,position,,
response-17737-5-,response,17737,5,position,accepted,position,,
response-16078-3-,response,16078,3,position,accepted,position,,
response-921-71-,response,921,71,position,in part or in principle,position,,
response-17405-5-,response,17405,5,position,accepted,position,,
response-10127-4-,response,10127,4,position,in part or in principle,position,,
response-16240-4-,response,16240,4,position,in part or in principle,position,,
response-16381-1-,response,16381,1,position,accepted,position,,
response-7643-5-,response,7643,5,position,accepted,position,,
response-15843-6-,response,15843,6,position,not accepted,position,,
response-15844-24-,response,15844,24,position,accepted,position,,
response-3383-2-,response,3383,2,position,accepted,position,,
response-16602-7-,response,16602,7,position,in part or in principle,position,,
response-16816-16-,response,16816,16,noted,,noted,,
response-5928-21-,response,5928,21,noted,,noted,,
response-6805-17-,response,6805,17,noted,,noted,,
response-17017-8-,response,17017,8,noted,,noted,,
response-15890-3-,response,15890,3,noted,,noted,,
response-15837-13-,response,15837,13,noted,,noted,,
response-16815-6-,response,16815,6,noted,,noted,,
response-1324-22-,response,1324,22,noted,,noted,,
response-16469-14-,response,16469,14,noted,,noted,,
response-2911-2-,response,2911,2,noted,,noted,,
response-14009-18-,response,14009,18,noted,,noted,,
response-15890-4-,response,15890,4,noted,,noted,,
response-6805-27-,response,6805,27,noted,,noted,,
response-6805-24-,response,6805,24,noted,,noted,,
response-16816-8-,response,16816,8,noted,,noted,,
response-8769-2-,response,8769,2,noted,,noted,,
response-974-7-,response,974,7,noted,,noted,,
response-8243-13-,response,8243,13,noted,,noted,,
response-17526-5-,response,17526,5,noted,,noted,,
response-17737-6-,response,17737,6,noted,,noted,,
response-8769-9-,response,8769,9,noted,,noted,,
response-15993-7-,response,15993,7,noted,,noted,,
response-16970-3-,response,16970,3,noted,,noted,,
response-15607-5-,response,15607,5,noted,,noted,,
response-15676-3-,response,15676,3,noted,,noted,,
report-6186-8-,report,6186,8,not individual,,not individual,,
report-11164-24-,report,11164,24,not individual,,not individual,,
report-8820-2-,report,8820,2,not individual,,not individual,,
report-5066-4-,report,5066,4,not individual,,not individual,,
report-7116-19-,report,7116,19,not individual,,not individual,,
report-5199-7-,report,5199,7,not individual,,not individual,,
report-9349-20-,report,9349,20,not individual,,not individual,,
report-1325-3-,report,1325,3,not individual,,not individual,,
report-8230-9-,report,8230,9,not individual,,not individual,,
report-11383-13-,report,11383,13,not individual,,not individual,,
response-16602-9-,response,16602,9,unreadable,,unreadable,,
response-6540-14-,response,6540,14,unreadable,,unreadable,,
response-16804-2-,response,16804,2,unreadable,,unreadable,,
response-17063-4-,response,17063,4,unreadable,,unreadable,,
response-9046-19-,response,9046,19,unreadable,,unreadable,,
response-16547-9-,response,16547,9,position,in part or in principle,"position, verdict far from the head",,
response-5631-7-,response,5631,7,position,in part or in principle,"position, verdict far from the head",,
response-16572-6-,response,16572,6,position,in part or in principle,"position, verdict far from the head",,
response-8011-11-,response,8011,11,position,in part or in principle,"position, verdict far from the head",,
response-16572-5-,response,16572,5,position,in part or in principle,"position, verdict far from the head",,
response-8264-4-,response,8264,4,position,accepted,"position, verdict far from the head",,
