row,source,source_id,label,state,verdict,stratum,checked,note
response-5913-1-,response,5913,1,position,accepted,position,,
response-17400-7-,response,17400,7,position,in part or in principle,position,,
response-2839-1-,response,2839,1,position,accepted,position,,
response-8769-1-,response,8769,1,position,in part or in principle,position,,
response-5297-1-,response,5297,1,position,accepted,position,,
response-16572-1-,response,16572,1,position,not accepted,position,,
response-16085-1-,response,16085,1,position,in part or in principle,position,,
response-16338-1-,response,16338,1,position,accepted,position,,
response-15671-1-,response,15671,1,position,in part or in principle,position,,
response-7279-1-,response,7279,1,position,not accepted,position,,
response-4250-1-,response,4250,1,position,accepted,position,,
response-16547-1-,response,16547,1,position,accepted,position,,
response-1102-3-,response,1102,3,position,accepted,position,,
response-15672-1-,response,15672,1,position,accepted,position,,
response-16003-1-,response,16003,1,position,accepted,position,,
response-244-1-,response,244,1,position,accepted,position,,
response-17400-12-,response,17400,12,position,in part or in principle,position,,
response-17737-1-,response,17737,1,position,in part or in principle,position,,
response-15044-2-,response,15044,2,position,not accepted,position,,
response-15844-1-,response,15844,1,position,in part or in principle,position,,
response-7643-1-,response,7643,1,noted,,noted,,
response-15845-1-,response,15845,1,noted,,noted,,
response-4165-1-,response,4165,1,noted,,noted,,
response-9517-3-,response,9517,3,noted,,noted,,
response-406-1-,response,406,1,noted,,noted,,
response-16970-1-,response,16970,1,noted,,noted,,
response-16523-1-,response,16523,1,noted,,noted,,
response-14707-1-,response,14707,1,noted,,noted,,
response-170-1-,response,170,1,unreadable,,unreadable,,
response-14151-4-,response,14151,4,unreadable,,unreadable,,
response-15918-1-,response,15918,1,unreadable,,unreadable,,
response-6668-9.2-,response,6668,9.2,unreadable,,unreadable,,
response-6669-4-,response,6669,4,form letter,,form letter,,
response-5813-1-,response,5813,1,form letter,,form letter,,
response-13947-1-,response,13947,1,form letter,,form letter,,
