document,label,why,words,context
856,20,too short to be a recommendation,,"Recommendation 20 Noted. First Nations-led innovations in governance of Country (environment and heritage) should be prioritised, supported, resourced and encouraged. Recommendation 21 Noted. The new national heritage protection legislation to include strong environmental protections to ensure protection of Country as"
941,6,does not read like a recommendation,The Australian Government consider including key aspects of the scheme in the primary legislation rather than leaving it to be subject to delegated legislation,Recommendation 6 The Australian Government consider including key aspects of the scheme in the primary legislation rather than leaving it to be subject to delegated legislation. The Australian Government notes the bills were passed on 2 December 2021 and the Scheme commenced operating on 1 March 2022. The Scheme is lar
1231,4,too short to be a recommendation,Noted,Recommendation 4 – Noted The Government is currently co-designing improvements to the access and planning pathway with the disability sector. The Government has worked with the disability sector to develop the terms of reference for the review of the NDIS. Both of these processes will include a range of approaches to p
1704,1,too short to be a recommendation,,"Recommendation 1 Accepted. The committee recommends that the The Government has committed to Australian Government prioritise criminalising wage theft in its Secure amendments to the Fair Work Act 2009 to Australian Jobs Plan. In that commitment, criminalise wage theft in Australia, and that the Government has indicate"
1704,13,too short to be a recommendation,,Recommendation 13 Noted. The committee recommends that the The Government is committed to ensuring Australian Government review all current that the Australian Taxation Office and the compliance and recovery activities related Fair Work Ombudsman are able to continue to unpaid Superannuation Guarantee to work together
3049,6,longer than a quotation can carry,"The Committee recommends the Government introduce legislation to establish a Joint Statutory Committee on Defence to supersede and enhance the Defence related functions currently undertaken by the Joint Standing Committee of Foreign Affairs, Defence and Trade. This committee should have its powers s","Recommendation 6 The Committee recommends the Government introduce legislation to establish a Joint Statutory Committee on Defence to supersede and enhance the Defence related functions currently undertaken by the Joint Standing Committee of Foreign Affairs, Defence and Trade. This committee should have its powers set"
3383,27,the extraction looks broken,"The committee recommends that the department, in consultation with stakeholders, coordinate the development of a strategy for biosecurity research development and extension which includes: e along-term funding mechanism for biosecurity research; e approaches to identify research, development and ext","Recommendation 27 The committee recommends that the department, in consultation with stakeholders, coordinate the development of a strategy for biosecurity research development and extension which includes: e along-term funding mechanism for biosecurity research; e approaches to identify research, development and ex"
5110,18,does not read like a recommendation,A moratorium on the sale of Crown land until a Treaty with First Nations peoples has been negotiated and agreed to,Recommendation 18 A moratorium on the sale of Crown land until a Treaty with First Nations peoples has been negotiated and agreed to. Australian Government response The Government notes this recommendation. The Government further notes that Crown land policy is primarily the responsibility of the states and territories
5198,9,the government's verdict is inside the recommendation,"9a The Committee recommends that the Australian Government commission urgent monitoring to assess the current status of EPBC Act-listed species, ecological communities and migratory species in the Australian Alps. 9b Further, the Australian Government should work with the NSW, Victorian and ACT gove","Recommendation 9 9a The Committee recommends that the Australian Government commission urgent monitoring to assess the current status of EPBC Act-listed species, ecological communities and migratory species in the Australian Alps. 9b Further, the Australian Government should work with the NSW, Victorian and ACT governm"
5297,12,does not read like a recommendation,"The Attorney-General’s Department undertakes further consultation with the relevant professions and the Court with respect to any unintended consequences that may flow from the Bill, in particular any disincentive that increased regulation and penalties may pose to current or potential family report","Recommendation 12 The Attorney-General’s Department undertakes further consultation with the relevant professions and the Court with respect to any unintended consequences that may flow from the Bill, in particular any disincentive that increased regulation and penalties may pose to current or potential family report w"
5418,5,too short to be a recommendation,Noted,recommendation 5: Noted The Government notes this recommendation overlaps with Recommendation 3 of the NDIS Review to provide a fairer and more consistent participant pathway. The Government is considering these issues further in response to the release of the final report of the NDIS Review in late 2023. Recommendatio
5817,1,too short to be a recommendation,The committee recommends that the bill be passed,"Recommendation 1 2.37 The committee recommends that the bill be passed. Response: The Government notes this recommendation. However, given the passage of time since the report was tabled, a substantive Government response is no longer appropriate. Dissenting Report by the Australian Greens Recommendation 1 1.10 The Aus"
5924,7,the extraction looks broken,"The Committee recommends that, independent of the Regulatory Investment Test for Transmission (RIT-T) process, the Australian Energy Market Operator be funded to undertake further feasibility studies to ascertain whether: - additional interconnectors are required on the grid and, if so, where; and -","Recommendation 7 The Committee recommends that, independent of the Regulatory Investment Test for Transmission (RIT-T) process, the Australian Energy Market Operator be funded to undertake further feasibility studies to ascertain whether: - additional interconnectors are required on the grid and, if so, where; and -"
5926,4,too short to be a recommendation,4 Overview,Recommendation 4: ...................................................................................................................... 4 Overview The Australian Government thanks the Senate Environment and Communications Legislation Committee (the Committee) for its work in producing the report into the Broadcasting
5988,7,the extraction looks broken,"The Committee recommends that, independent of the Regulatory Investment Test for Transmission (RIT-T) process, the Australian Energy Market Operator be funded to undertake further feasibility studies to ascertain whether: - additional interconnectors are required on the grid and, if so, where; and -","Recommendation 7 The Committee recommends that, independent of the Regulatory Investment Test for Transmission (RIT-T) process, the Australian Energy Market Operator be funded to undertake further feasibility studies to ascertain whether: - additional interconnectors are required on the grid and, if so, where; and - ad"
6022,3,does not read like a recommendation,With the aim of increasing its staff’s awareness of their democratic responsibilities: • the Department of Defence re-examine its induction and training programs and corporate culture regarding its role as a department answerable to the Australian people through the processes of the Australian Parli,Recommendation 3 With the aim of increasing its staff’s awareness of their democratic responsibilities: • the Department of Defence re-examine its induction and training programs and corporate culture regarding its role as a department answerable to the Australian people through the processes of the Australian Parliame
6408,5,does not read like a recommendation,"Enact Parliamentary Standards legislation to give statutory force to the Ministerial Standards and to establish a Parliamentary Standards Commissioner with responsibility for education and advice, oversight, investigating complaints, monitoring compliance, and enforcement","Recommendation 5 Enact Parliamentary Standards legislation to give statutory force to the Ministerial Standards and to establish a Parliamentary Standards Commissioner with responsibility for education and advice, oversight, investigating complaints, monitoring compliance, and enforcement. Australian Government Respons"
