id,classification,stratum,verdict,note
13990,partial_proforma,partial,,
9394,partial_proforma,partial,,
6155,partial_proforma,partial,,
5917,partial_proforma,partial,,
5813,partial_proforma,partial,,
7592,proforma_closure,pure,,
15567,proforma_closure,pure,,
6028,proforma_closure,pure,,
7543,proforma_closure,pure,,
5746,proforma_closure,pure,,
5836,proforma_closure,pure,,
5830,proforma_closure,pure,,
6069,proforma_closure,pure,,
6653,proforma_closure,pure,,
15314,proforma_closure,pure,,
5834,proforma_closure,pure,,
15897,proforma_closure,pure,,
6053,proforma_closure,pure,,
5898,proforma_closure,pure,,
17022,proforma_closure,pure,,
5853,proforma_closure,pure,,
6025,proforma_closure,pure,,
6786,proforma_closure,pure,,
13993,proforma_closure,pure,,
6249,proforma_closure,pure,,
17405,substantive,substantive,,
17511,substantive,substantive,,
17400,substantive,substantive,,
1569,substantive,substantive,,
5198,substantive,substantive,,
17569,substantive,substantive,,
8770,substantive,substantive,,
12523,substantive,substantive,,
15840,substantive,substantive,,
8244,substantive,substantive,,
108,substantive,substantive,,
17294,substantive,substantive,,
5656,substantive,substantive,,
15839,substantive,substantive,,
7620,substantive,substantive,,
6157,substantive,substantive,,
5095,substantive,substantive,,
15767,substantive,substantive,,
11617,substantive,substantive,,
15766,substantive,substantive,,
17017,substantive,targeted,,
16545,substantive,targeted,,
16278,substantive,targeted,,
16059,substantive,targeted,,
15937,substantive,targeted,,
15484,substantive,targeted,,
14687,substantive,targeted,,
7440,substantive,targeted,,
7037,substantive,targeted,,
6059,substantive,targeted,,
6060,substantive,targeted,,
