inquiry,committee,report,response
Access to free trade agreements by small and medium sized enterprises,"Joint Standing Committee on Foreign Affairs, Defence and Trade","From little things big things grow - supporting Australian SMEs to go global: an inquiry into access to free trade agreements by small and medium enterprises
Report tabled: 14/2/2019","Response presented: 9/12/2019
Response tabled: 4/2/2020"
Accessibility and quality of mental health services in rural and remote Australia,Community Affairs References Committee,Report tabled: 4/12/2018,"Response presented: 9/4/2019
Response tabled: 2/7/2019"
Administration of the National Memorials Ordinance 1928,Joint Standing Committee on the National Capital and External Territories,"Etched in stone?
Report tabled: 25/11/2011",Response tabled: 3/4/2019
Agricultural and Veterinary Chemicals Legislation Amendment (Streamlining Regulation) Bill 2018,Rural and Regional Affairs and Transport Legislation Committee,"Report presented: 11/2/2019
Report tabled: 12/2/2019",Response tabled: 3/4/2019
Allegations of political interference in the Australian Broadcasting Corporation (ABC),Environment and Communications References Committee,"Report presented: 1/4/2019
Report tabled: 2/4/2019","Response presented: 8/8/2019
Response tabled: 9/9/2019"
Annual reports referred to legislation committees,"Foreign Affairs, Defence and Trade Legislation Committee","No. 1 and No. 2 of 2019
Report tabled: 23/7/2019","Response presented: 28/10/2019
Response tabled: 11/11/2019"
Aspects of the Peru-Australia Free Trade Agreement revisited,Joint Standing Committee on Treaties,"183rd report
Report presented: 21/11/2018
Report tabled: 26/11/2018","Response presented: 4/4/2019
Response tabled: 2/7/2019"
Assistive Technology,Joint Standing Committee on the National Disability Insurance Scheme,"Provision of assistive technology under the NDIS
Report presented: 12/12/2018
Report tabled: 12/2/2019","Response presented: 7/3/2019
Response tabled: 2/4/2019"
Austrade's role in attracting investment in Australia,Joint Standing Committee on Trade and Investment Growth,Report tabled: 2/4/2019,"Response presented: 6/9/2019
Response tabled: 9/9/2019"
Australia's trade and investment relationships with countries of the Middle East,"Joint Standing Committee on Foreign Affairs, Defence and Trade",Report tabled: 4/5/2016,"Response presented: 22/3/2019
Response tabled: 2/4/2019"
Australia’s Antarctic Territory,Joint Standing Committee on the National Capital and External Territories,"Maintaining Australia's national interests in Antarctica
Report tabled: 19/6/2018","Response presented: 5/4/2019
Response tabled: 2/7/2019"
Australia’s trade and investment relationships with the countries of Africa,"Foreign Affairs, Defence and Trade References Committee",Report tabled: 21/6/2018,Response tabled: 14/2/2019
